Entity,Code,Year,Number of neonatal deaths
East Asia and Pacific (WB),,1990,1107274
East Asia and Pacific (WB),,1995,831606
East Asia and Pacific (WB),,2000,640971
East Asia and Pacific (WB),,2005,470235
East Asia and Pacific (WB),,2010,353290
East Asia and Pacific (WB),,2015,268056
East Asia and Pacific (WB),,2020,202819
Europe and Central Asia (WB),,1990,173949
Europe and Central Asia (WB),,1995,136288
Europe and Central Asia (WB),,2000,103604
Europe and Central Asia (WB),,2005,83548
Europe and Central Asia (WB),,2010,68807
Europe and Central Asia (WB),,2015,55783
Europe and Central Asia (WB),,2020,43466
Latin America and Caribbean (WB),,1990,267833
Latin America and Caribbean (WB),,1995,228951
Latin America and Caribbean (WB),,2000,186547
Latin America and Caribbean (WB),,2005,143681
Latin America and Caribbean (WB),,2010,120107
Latin America and Caribbean (WB),,2015,106064
Latin America and Caribbean (WB),,2020,93853
Middle East and North Africa (WB),,1990,236125
Middle East and North Africa (WB),,1995,192663
Middle East and North Africa (WB),,2000,165053
Middle East and North Africa (WB),,2005,151048
Middle East and North Africa (WB),,2010,143272
Middle East and North Africa (WB),,2015,133218
Middle East and North Africa (WB),,2020,119225
North America (WB),,1990,24421
North America (WB),,1995,21218
North America (WB),,2000,19556
North America (WB),,2005,19850
North America (WB),,2010,18141
North America (WB),,2015,16611
North America (WB),,2020,14609
South Asia (WB),,1990,2190322
South Asia (WB),,1995,2004435
South Asia (WB),,2000,1776390
South Asia (WB),,2005,1520423
South Asia (WB),,2010,1263650
South Asia (WB),,2015,1028417
South Asia (WB),,2020,838012
Sub-Saharan Africa (WB),,1990,1021296
Sub-Saharan Africa (WB),,1995,1085003
Sub-Saharan Africa (WB),,2000,1116084
Sub-Saharan Africa (WB),,2005,1101497
Sub-Saharan Africa (WB),,2010,1093459
Sub-Saharan Africa (WB),,2015,1082047
Sub-Saharan Africa (WB),,2020,1060110
