Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: All Ages (Number)
Central Europe,,1990,1723119.50952
Central Europe,,1995,1907430.53358
Central Europe,,2000,2102199.5872
Central Europe,,2005,2333592.06856
Central Europe,,2010,2587110.73128
Central Europe,,2015,2807454.9623
Central Europe,,2017,2831074.61835
Puerto Rico,PRI,1990,29993.1674554
Puerto Rico,PRI,1995,37367.4567754
Puerto Rico,PRI,2000,43500.1093801
Puerto Rico,PRI,2005,52008.744861
Puerto Rico,PRI,2010,59089.1187769
Puerto Rico,PRI,2015,65127.7974304
Puerto Rico,PRI,2017,68927.5002705
