Entity,Code,Year,Annual CO₂ emissions embedded in trade
Azerbaijan,AZE,1990,-23134588.0
Azerbaijan,AZE,1995,-10105488.0
Azerbaijan,AZE,2000,-5953266.0
Azerbaijan,AZE,2005,974792.0
Azerbaijan,AZE,2010,2700564.0
Azerbaijan,AZE,2015,2486460.0
Azerbaijan,AZE,2021,515676.0
European Union (28),,1990,599179260.0
European Union (28),,1995,683646460.0
European Union (28),,2000,787576600.0
European Union (28),,2005,955398660.0
European Union (28),,2010,1033225500.0
European Union (28),,2015,672421900.0
European Union (28),,2021,858294500.0
Mauritius,MUS,1990,1227412.2
Mauritius,MUS,1995,1612791.2
Mauritius,MUS,2000,1929953.0
Mauritius,MUS,2005,1161285.0
Mauritius,MUS,2010,975610.5
Mauritius,MUS,2015,827065.5
Mauritius,MUS,2021,1666482.2
Oceania,,1990,-39285950.0
Oceania,,1995,-47558560.0
Oceania,,2000,-67112000.0
Oceania,,2005,-48884190.0
Oceania,,2010,-20834432.0
Oceania,,2015,-31970720.0
Oceania,,2021,-57914016.0
Taiwan,TWN,1990,51005216.0
Taiwan,TWN,1995,47113950.0
Taiwan,TWN,2000,54012450.0
Taiwan,TWN,2005,35684590.0
Taiwan,TWN,2010,21760384.0
Taiwan,TWN,2015,1201344.0
Taiwan,TWN,2021,7625568.0
