Entity,Code,Year,Deaths in ongoing conflicts (best estimate) - Conflict type: state-based
Africa,,1991,25480
Africa,,1994,9605
Africa,,1997,23582
Africa,,2000,59714
Africa,,2003,6430
Africa,,2006,3694
Africa,,2009,5610
Africa,,2012,6527
Africa,,2015,10282
Africa,,2018,6838
Africa,,2022,112726
Africa,,1946,0
Africa,,1949,0
Africa,,1952,2591
Africa,,1955,23296
Africa,,1958,24305
Africa,,1961,57845
Africa,,1964,11933
Africa,,1967,25941
Africa,,1970,13039
Africa,,1973,10391
Africa,,1976,27567
Africa,,1979,29530
Africa,,1982,34568
Africa,,1985,62674
Africa,,1988,37095
Americas,,1991,2183
Americas,,1994,1558
Americas,,1997,653
Americas,,2000,1870
Americas,,2003,1597
Americas,,2006,502
Americas,,2009,427
Americas,,2012,211
Americas,,2015,134
Americas,,2018,131
Americas,,2022,73
Americas,,1946,1000
Americas,,1949,40
Americas,,1952,450
Americas,,1955,800
Americas,,1958,300
Americas,,1961,279
Americas,,1964,230
Americas,,1967,502
Americas,,1970,1720
Americas,,1973,3395
Americas,,1976,2580
Americas,,1979,9570
Americas,,1982,14838
Americas,,1985,13168
Americas,,1988,6798
Asia and Oceania,,1991,15509
Asia and Oceania,,1994,12642
Asia and Oceania,,1997,11493
Asia and Oceania,,2000,13571
Asia and Oceania,,2003,5942
Asia and Oceania,,2006,9842
Asia and Oceania,,2009,25764
Asia and Oceania,,2012,12283
Asia and Oceania,,2015,21171
Asia and Oceania,,2018,27309
Asia and Oceania,,2022,4298
Asia and Oceania,,1946,243831
Asia and Oceania,,1949,406506
Asia and Oceania,,1952,145687
Asia and Oceania,,1955,6738
Asia and Oceania,,1958,21676
Asia and Oceania,,1961,17078
Asia and Oceania,,1964,49678
Asia and Oceania,,1967,93083
Asia and Oceania,,1970,190155
Asia and Oceania,,1973,197295
Asia and Oceania,,1976,13998
Asia and Oceania,,1979,115257
Asia and Oceania,,1982,49470
Asia and Oceania,,1985,81165
Asia and Oceania,,1988,42511
Europe,,1991,3400
Europe,,1994,8758
Europe,,1997,29
Europe,,2000,2907
Europe,,2003,480
Europe,,2006,259
Europe,,2009,696
Europe,,2012,541
Europe,,2015,1945
Europe,,2018,280
Europe,,2022,81856
Europe,,1946,51418
Europe,,1949,38525
Europe,,1952,0
Europe,,1955,74
Europe,,1958,75
Europe,,1961,1180
Europe,,1964,0
Europe,,1967,0
Europe,,1970,0
Europe,,1973,253
Europe,,1976,295
Europe,,1979,121
Europe,,1982,1074
Europe,,1985,57
Europe,,1988,104
Middle East,,1991,23766
Middle East,,1994,5899
Middle East,,1997,4839
Middle East,,2000,323
Middle East,,2003,8328
Middle East,,2006,5421
Middle East,,2009,2106
Middle East,,2012,54470
Middle East,,2015,70076
Middle East,,2018,20268
Middle East,,2022,5056
Middle East,,1946,137
Middle East,,1949,1575
Middle East,,1952,345
Middle East,,1955,256
Middle East,,1958,1681
Middle East,,1961,1422
Middle East,,1964,1507
Middle East,,1967,7191
Middle East,,1970,3870
Middle East,,1973,11606
Middle East,,1976,62282
Middle East,,1979,2811
Middle East,,1982,134559
Middle East,,1985,71402
Middle East,,1988,65995
