Entity,Code,Year,"GNI per capita, PPP (constant 2017 international $)","GDP per capita, PPP (constant 2017 international $)",Population,Continent
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Australia,AUS,2021,51248.055,49774.34,25921094.0,
Bermuda,BMU,2021,83529.336,80271.13,64213.0,
China,CHN,2021,17443.963,17602.695,1425893504.0,
Democratic Republic of Congo,COD,2021,984.52936,1073.6433,95894120.0,
Denmark,DNK,2021,60816.562,57962.652,5854246.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,46357.0,44993.125,64531448.0,
Germany,DEU,2021,54764.41,53179.656,83408560.0,
India,IND,2021,6488.9126,6592.042,1407563904.0,
Indonesia,IDN,2021,11535.597,11858.146,273753184.0,
Ireland,IRL,2021,74860.55,102496.22,4986525.0,
Japan,JPN,2021,41902.94,40784.383,124612528.0,
Kazakhstan,KAZ,2021,22601.719,26110.53,19196468.0,
Luxembourg,LUX,2021,85907.68,115683.49,639330.0,
Maldives,MDV,2021,16872.771,18765.217,521469.0,
Nigeria,NGA,2021,4716.01,4922.6323,213401328.0,
North America,,2021,,,597123384.0,
Norway,NOR,2021,71742.06,65662.17,5403021.0,
Oceania,,2021,,,44492065.0,
Poland,POL,2021,33263.695,34915.523,38307724.0,
Russia,RUS,2021,26555.55,27960.102,145102752.0,
South America,,2021,,,434254167.0,
Spain,ESP,2021,38166.72,37913.074,47486932.0,
United States,USA,2021,64936.703,63669.71,336997632.0,
