Entity,Code,Year,"Death rate per 100,000 people - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: Age-standardized"
Colombia,COL,2000,231.15755
Colombia,COL,2005,212.73865
Colombia,COL,2010,175.62784
Colombia,COL,2015,165.40648
Colombia,COL,2019,155.33246
Democratic Republic of Congo,COD,2000,347.96097
Democratic Republic of Congo,COD,2005,336.72836
Democratic Republic of Congo,COD,2010,326.11194
Democratic Republic of Congo,COD,2015,294.89587
Democratic Republic of Congo,COD,2019,297.76544
Gabon,GAB,2000,361.4433
Gabon,GAB,2005,309.3106
Gabon,GAB,2010,282.0574
Gabon,GAB,2015,258.40732
Gabon,GAB,2019,236.16286
Georgia,GEO,2000,715.31287
Georgia,GEO,2005,613.6654
Georgia,GEO,2010,596.19635
Georgia,GEO,2015,517.85645
Georgia,GEO,2019,503.6093
Jordan,JOR,2000,408.02127
Jordan,JOR,2005,337.57617
Jordan,JOR,2010,241.68681
Jordan,JOR,2015,227.50305
Jordan,JOR,2019,220.90321
Peru,PER,2000,99.43187
Peru,PER,2005,71.32774
Peru,PER,2010,72.05707
Peru,PER,2015,67.39017
Peru,PER,2019,76.909515
Philippines,PHL,2000,275.4517
Philippines,PHL,2005,295.26205
Philippines,PHL,2010,310.21164
Philippines,PHL,2015,327.32907
Philippines,PHL,2019,381.165
South Korea,KOR,2000,183.09155
South Korea,KOR,2005,143.0296
South Korea,KOR,2010,99.239655
South Korea,KOR,2015,76.111916
South Korea,KOR,2019,61.12803
Togo,TGO,2000,342.74576
Togo,TGO,2005,348.33835
Togo,TGO,2010,333.18106
Togo,TGO,2015,318.03992
Togo,TGO,2019,303.28586
United Arab Emirates,ARE,2000,367.0401
United Arab Emirates,ARE,2005,379.84308
United Arab Emirates,ARE,2010,1218.7623
United Arab Emirates,ARE,2015,387.07706
United Arab Emirates,ARE,2019,233.8351
