Entity,Code,Year,Share of global annual CO₂ emissions from gas
Canada,CAN,1882,0.0
Canada,CAN,1900,0.0
Canada,CAN,1920,2.1359785
Canada,CAN,1940,1.4222023
Canada,CAN,1960,2.580124
Canada,CAN,1980,4.0616765
Canada,CAN,2000,3.6656492
Canada,CAN,2022,3.1024752
China,CHN,1920,0.0
China,CHN,1940,0.0
China,CHN,1960,0.23878655
China,CHN,1980,0.99035645
China,CHN,2000,1.2639204
China,CHN,2022,9.7460785
India,IND,1882,0.0
India,IND,1900,0.0
India,IND,1920,0.0
India,IND,1940,0.0
India,IND,1960,0.0
India,IND,1980,0.09018938
India,IND,2000,0.9273397
India,IND,2022,1.6004282
Mexico,MEX,1900,0.0
Mexico,MEX,1920,0.0
Mexico,MEX,1940,1.3646708
Mexico,MEX,1960,0.76420474
Mexico,MEX,1980,1.5875672
Mexico,MEX,2000,1.7163606
Mexico,MEX,2022,2.423454
United Kingdom,GBR,1882,0.0
United Kingdom,GBR,1900,0.0
United Kingdom,GBR,1920,0.0
United Kingdom,GBR,1940,0.0
United Kingdom,GBR,1960,0.01799678
United Kingdom,GBR,1980,3.2055087
United Kingdom,GBR,2000,4.441547
United Kingdom,GBR,2022,1.7643307
United States,USA,1882,100.0
United States,USA,1900,100.0
United States,USA,1920,95.26222
United States,USA,1940,87.075935
United States,USA,1960,75.47674
United States,USA,1980,38.356415
United States,USA,2000,26.448002
United States,USA,2022,22.501722
