Entity,Code,Year,"Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages"
Australia,AUS,1950,38.21757
Australia,AUS,1960,14.405522
Australia,AUS,1970,7.9669514
Australia,AUS,1980,3.9870067
Australia,AUS,1990,6.3326244
Australia,AUS,2000,6.046653
Australia,AUS,2010,5.680934
Australia,AUS,2021,4.649423
Brazil,BRA,1980,62.16684
Brazil,BRA,1990,35.88749
Brazil,BRA,2000,32.285305
Brazil,BRA,2010,27.993626
France,FRA,1950,80.31102
France,FRA,1960,27.38879
France,FRA,1970,13.779649
France,FRA,1980,9.578538
France,FRA,1990,11.920707
France,FRA,2000,10.208153
France,FRA,2010,7.6869903
Germany,DEU,1990,6.524587
Germany,DEU,2000,7.1646094
Germany,DEU,2010,7.922966
Russia,RUS,1980,22.414087
Russia,RUS,1990,12.525235
Russia,RUS,2000,23.944387
Russia,RUS,2010,21.288563
South Africa,ZAF,2000,223.05661
South Africa,ZAF,2010,311.5904
United States,USA,1950,39.166286
United States,USA,1960,16.15246
United States,USA,1970,8.514879
United States,USA,1980,6.9448395
United States,USA,1990,18.913454
United States,USA,2000,15.581993
United States,USA,2010,14.314995
