Entity,Code,Year,"Deaths that are from all causes attributed to high systolic blood pressure per 100,000 people, in both sexes aged all ages"
Russia,RUS,1990,336.5786
Russia,RUS,1995,451.75467
Russia,RUS,2000,474.16687
Russia,RUS,2005,504.37003
Russia,RUS,2010,440.55182
Russia,RUS,2015,392.1707
Russia,RUS,2019,380.1734
Ukraine,UKR,1990,372.3372
Ukraine,UKR,1995,490.9225
Ukraine,UKR,2000,488.1743
Ukraine,UKR,2005,529.54034
Ukraine,UKR,2010,491.60596
Ukraine,UKR,2015,534.3193
Ukraine,UKR,2019,540.2199
