Entity,Code,Year,Prevalence - Asperger syndrome and other autistic spectrum disorders - Sex: Both - Age: Age-standardized (Percent)
Andorra,AND,1990,0.504663637797
Andorra,AND,1995,0.505572145354
Andorra,AND,2000,0.506176841026
Andorra,AND,2005,0.507671755346
Andorra,AND,2010,0.509366806295
Andorra,AND,2016,0.510068391723
Eswatini,SWZ,1990,0.554364793642
Eswatini,SWZ,1995,0.564634572339
Eswatini,SWZ,2000,0.5672405760060001
Eswatini,SWZ,2005,0.570555832588
Eswatini,SWZ,2010,0.5730628980019999
Eswatini,SWZ,2016,0.577352190851
Latin America and Caribbean,,1990,0.5942335187760001
Latin America and Caribbean,,1995,0.595737360336
Latin America and Caribbean,,2000,0.597026622045
Latin America and Caribbean,,2005,0.598117429772
Latin America and Caribbean,,2010,0.600270450377
Latin America and Caribbean,,2016,0.6023462943819999
Malta,MLT,1990,0.50188417046
Malta,MLT,1995,0.5048132286770001
Malta,MLT,2000,0.5075528416399999
Malta,MLT,2005,0.511148281176
Malta,MLT,2010,0.511659348539
Malta,MLT,2016,0.5128780046579999
Spain,ESP,1990,0.498194624293
Spain,ESP,1995,0.500088988492
Spain,ESP,2000,0.5015524956209999
Spain,ESP,2005,0.503230302285
Spain,ESP,2010,0.502666624083
Spain,ESP,2016,0.501072906733
