Entity,Code,Year,Expense (% of GDP)
Germany,DEU,1972,20.168543
Germany,DEU,1980,25.384544
Germany,DEU,1990,24.685686
Germany,DEU,2000,31.313221
Germany,DEU,2010,31.366713
Germany,DEU,2020,32.571365
India,IND,1980,11.702478
India,IND,1990,15.484217
India,IND,2000,15.410402
India,IND,2010,16.505136
Peru,PER,1972,12.65359
Peru,PER,1980,18.763405
Peru,PER,1990,19.457102
Peru,PER,2000,18.42129
Peru,PER,2010,17.82234
Peru,PER,2020,26.879248
United Kingdom,GBR,1972,29.511858
United Kingdom,GBR,1980,35.55988
United Kingdom,GBR,1990,32.583042
United Kingdom,GBR,2000,34.15542
United Kingdom,GBR,2010,44.04046
United Kingdom,GBR,2020,47.55721
United States,USA,1972,17.798313
United States,USA,1980,20.54417
United States,USA,1990,21.55893
United States,USA,2000,17.926537
United States,USA,2010,26.054605
United States,USA,2020,32.194916
