Entity,Code,Year,Consumer price index (2010 = 100)
China,CHN,1990,40.44026
China,CHN,2000,80.970024
China,CHN,2010,100.0
China,CHN,2021,129.36621
India,IND,1960,2.5274868
India,IND,1970,4.5980954
India,IND,1980,9.73741
India,IND,1990,22.949007
India,IND,2000,54.33832
India,IND,2010,100.0
India,IND,2021,192.37872
Japan,JPN,1960,18.972569
Japan,JPN,1970,32.671284
Japan,JPN,1980,77.1626
Japan,JPN,1990,94.53433
Japan,JPN,2000,102.66762
Japan,JPN,2010,100.0
Japan,JPN,2021,105.211815
Mexico,MEX,1960,0.012904548
Mexico,MEX,1970,0.016870655
Mexico,MEX,1980,0.078082696
Mexico,MEX,1990,11.754318
Mexico,MEX,2000,63.312813
Mexico,MEX,2010,100.0
Mexico,MEX,2021,154.67667
South Africa,ZAF,1960,1.7724596
South Africa,ZAF,1970,2.346894
South Africa,ZAF,1980,6.4814205
South Africa,ZAF,1990,25.431334
South Africa,ZAF,2000,59.90071
South Africa,ZAF,2010,100.0
South Africa,ZAF,2021,171.6024
United States,USA,1960,13.563061
United States,USA,1970,17.8051
United States,USA,1980,37.792366
United States,USA,1990,59.91976
United States,USA,2000,78.97072
United States,USA,2010,100.0
United States,USA,2021,124.26641
