Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Rate)
Cameroon,CMR,1990,98.81
Cameroon,CMR,1995,99.06
Cameroon,CMR,2000,104.43
Cameroon,CMR,2005,101.54
Cameroon,CMR,2010,97.87
Cameroon,CMR,2015,95.07
Cameroon,CMR,2019,91.03
Seychelles,SYC,1990,279.46
Seychelles,SYC,1995,265.58
Seychelles,SYC,2000,239.37
Seychelles,SYC,2005,242.87
Seychelles,SYC,2010,226.84
Seychelles,SYC,2015,222.11
Seychelles,SYC,2019,236.72
South Asia (WB),,1990,142.93
South Asia (WB),,1995,142.63
South Asia (WB),,2000,149.86
South Asia (WB),,2005,147.64
South Asia (WB),,2010,159.22
South Asia (WB),,2015,170.48
South Asia (WB),,2019,182.07
South Sudan,SSD,1990,104.93
South Sudan,SSD,1995,95.48
South Sudan,SSD,2000,79.65
South Sudan,SSD,2005,71.24
South Sudan,SSD,2010,66.76
South Sudan,SSD,2015,72.64
South Sudan,SSD,2019,76.63
Sri Lanka,LKA,1990,174.33
Sri Lanka,LKA,1995,178.02
Sri Lanka,LKA,2000,201.3
Sri Lanka,LKA,2005,198.58
Sri Lanka,LKA,2010,203.1
Sri Lanka,LKA,2015,204.8
Sri Lanka,LKA,2019,213.12
Sudan,SDN,1990,255.6
Sudan,SDN,1995,244.49
Sudan,SDN,2000,226.02
Sudan,SDN,2005,209.07
Sudan,SDN,2010,192.62
Sudan,SDN,2015,183.46
Sudan,SDN,2019,182.24
