Entity,Code,Year,Years lived with disability,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Africa,,2016,,,1232111820.0,
Algeria,DZA,2016,11.34,768.0764,40339328.0,
Argentina,ARG,2016,9.48,1831.5353,43668236.0,
Asia,,2016,,,4502955714.0,
Bahamas,BHS,2016,8.98,1919.6874,395986.0,
Bangladesh,BGD,2016,9.85,95.181335,159784576.0,
Bhutan,BTN,2016,10.61,352.92545,749764.0,
Bolivia,BOL,2016,9.24,512.48425,11263016.0,
Brazil,BRA,2016,9.76,1307.1498,206859584.0,
Burundi,BDI,2016,6.83,61.51781,10903329.0,
Central African Republic,CAF,2016,6.51,46.332565,4904182.0,
China,CHN,2016,8.51,658.578,1401889664.0,
Cote d'Ivoire,CIV,2016,7.72,158.43535,24213620.0,
Czechia,CZE,2016,11.0,2568.3372,10527584.0,
Democratic Republic of Congo,COD,2016,8.45,42.074097,81430976.0,
East Timor,TLS,2016,9.38,215.94351,1224568.0,
Egypt,EGY,2016,10.09,600.35864,99784032.0,
Eswatini,SWZ,2016,7.82,593.77423,1142529.0,
Ethiopia,ETH,2016,7.72,67.6436,105293232.0,
Europe,,2016,,,744516175.0,
Fiji,FJI,2016,8.17,414.29245,918371.0,
Finland,FIN,2016,11.21,4212.0874,5495217.0,
Gambia,GMB,2016,9.07,76.18498,2317212.0,
Germany,DEU,2016,10.7,5694.9126,82331432.0,
Ghana,GHA,2016,8.08,169.27177,29554298.0,
Hungary,HUN,2016,9.92,1949.2494,9815106.0,
India,IND,2016,9.66,204.64664,1338636288.0,
Indonesia,IDN,2016,8.71,317.0876,261850176.0,
Iran,IRN,2016,11.15,1200.9164,83306232.0,
Italy,ITA,2016,10.59,3481.5735,60118628.0,
Japan,JPN,2016,10.78,4303.92,126993856.0,
Kuwait,KWT,2016,11.46,2114.0667,4048090.0,
Lesotho,LSO,2016,6.49,262.78925,2143876.0,
Madagascar,MDG,2016,7.47,84.462105,25501944.0,
Mali,MLI,2016,8.15,82.60833,18700108.0,
Mexico,MEX,2016,9.32,1073.1318,121519224.0,
Mongolia,MNG,2016,8.21,475.20663,3029559.0,
Morocco,MAR,2016,11.03,378.42758,35107272.0,
Myanmar,MMR,2016,8.46,206.13435,51892352.0,
Nepal,NPL,2016,9.49,162.15366,27861186.0,
Niger,NER,2016,7.66,52.04469,20921748.0,
Nigeria,NGA,2016,8.74,190.94731,188666928.0,
North America,,2016,11.12,,576008328.0,
Oceania,,2016,7.85,,41101240.0,
Oman,OMN,2016,10.76,1260.2045,4398080.0,
Pakistan,PAK,2016,8.98,127.575714,213524848.0,
Philippines,PHL,2016,8.46,304.67172,104875272.0,
Poland,POL,2016,10.33,1850.9159,38532108.0,
Russia,RUS,2016,8.96,1288.5962,145109152.0,
Sierra Leone,SLE,2016,7.52,277.3505,7493918.0,
Slovenia,SVN,2016,11.51,2873.208,2090020.0,
South Africa,ZAF,2016,8.61,1110.7584,56422272.0,
South America,,2016,,,417101806.0,
South Korea,KOR,2016,10.24,2748.954,51309984.0,
Sudan,SDN,2016,10.13,305.3948,39377168.0,
Tanzania,TZA,2016,7.76,95.396996,54401804.0,
Thailand,THA,2016,9.77,623.7878,70607032.0,
Tunisia,TUN,2016,10.85,684.74884,11685666.0,
Turkey,TUR,2016,11.56,1135.9583,81019400.0,
Turkmenistan,TKM,2016,8.18,918.1064,5868568.0,
Ukraine,UKR,2016,9.07,802.77765,44833568.0,
United States,USA,2016,11.16,9775.0,327210208.0,
Zambia,ZMB,2016,7.16,152.43423,16767758.0,
Zimbabwe,ZWE,2016,7.13,215.40456,14452705.0,
