Entity,Code,Year,Industrial water withdrawal
Belgium,BEL,1980,7676000000.0
Belgium,BEL,1995,6800000000.0
Belgium,BEL,2000,5964000000.0
Belgium,BEL,2005,5450000000.0
Belgium,BEL,2010,5256000000.0
Brazil,BRA,1995,9940000000.0
Brazil,BRA,2005,10140000000.0
Brazil,BRA,2010,12720000000.0
China,CHN,1980,45730000000.0
China,CHN,1985,36170000000.0
China,CHN,1990,50000000000.0
China,CHN,1995,92550000000.0
China,CHN,2000,113900000000.0
China,CHN,2005,140300000000.0
China,CHN,2010,142400000000.0
China,CHN,2015,133500000000.0
France,FRA,1985,24510000000.0
France,FRA,1990,28320000000.0
France,FRA,1995,21100000000.0
France,FRA,2000,22110000000.0
France,FRA,2005,21790000000.0
France,FRA,2010,21610000000.0
Pakistan,PAK,1975,1534000000.0
Pakistan,PAK,1990,2500000000.0
Pakistan,PAK,2000,3470000000.0
Pakistan,PAK,2010,1400000000.0
Palestine,PSE,2000,14600000.0
Palestine,PSE,2005,29000000.0
