Entity,Code,Year,Share under $2 per day
Australia,AUS,1820,64.1540753735492
Australia,AUS,1850,6.45116285662019
Australia,AUS,1950,0.0142899958538289
Australia,AUS,2000,9.69066801583747e-08
Australia,AUS,2017,1.53502686114594e-08
Italy,ITA,1820,23.508018282504
Italy,ITA,1850,20.140538038168
Italy,ITA,1950,1.62216137681811
Italy,ITA,2000,2.5081769533e-06
Italy,ITA,2017,6.74935661629502e-07
Japan,JPN,1820,47.496891432179
Japan,JPN,1850,36.1522649779872
Japan,JPN,1950,3.25537398219337
Japan,JPN,2000,9.372594516437109e-11
Japan,JPN,2017,1.56517699653477e-09
United Kingdom,GBR,1820,24.1043838492143
United Kingdom,GBR,1850,3.73818905755824
United Kingdom,GBR,1950,0.0001870776260044
United Kingdom,GBR,2000,5.97448798448553e-07
United Kingdom,GBR,2017,3.12252703484881e-08
United States,USA,1820,27.2610750618021
United States,USA,1850,6.0970990687348
United States,USA,1950,0.007297792117686
United States,USA,2000,1.13299160038e-05
United States,USA,2017,6.1447139238e-06
