Entity,Code,Year,Coal per capita (kWh)
Chile,CHL,1965,1506.2854
Chile,CHL,1970,1519.4048
Chile,CHL,1980,1105.2217
Chile,CHL,1990,2270.2375
Chile,CHL,2000,2433.8315
Chile,CHL,2010,3071.551
Chile,CHL,2022,3120.2402
Hong Kong,HKG,1965,397.1342
Hong Kong,HKG,1970,61.751022
Hong Kong,HKG,1980,4.672042
Hong Kong,HKG,1990,10939.652
Hong Kong,HKG,2000,7494.913
Hong Kong,HKG,2010,10154.04
Hong Kong,HKG,2022,5577.059
Indonesia,IDN,1965,14.8309765
Indonesia,IDN,1970,8.780909
Indonesia,IDN,1980,19.85725
Indonesia,IDN,1990,218.4231
Indonesia,IDN,2000,715.03564
Indonesia,IDN,2010,1760.6184
Indonesia,IDN,2022,4415.625
Italy,ITA,1965,1949.753
Italy,ITA,1970,2152.652
Italy,ITA,1980,2591.947
Italy,ITA,1990,2999.813
Italy,ITA,2000,2555.544
Italy,ITA,2010,2658.325
Italy,ITA,2022,1435.9135
Luxembourg,LUX,1965,96169.94
Luxembourg,LUX,1970,92322.64
Luxembourg,LUX,1980,58337.836
Luxembourg,LUX,1990,33565.41
Luxembourg,LUX,2000,2928.6306
Luxembourg,LUX,2010,1536.676
Luxembourg,LUX,2022,794.27594
Romania,ROU,1965,2652.208
Romania,ROU,1970,4180.707
Romania,ROU,1980,6499.067
Romania,ROU,1990,6395.881
Romania,ROU,2000,3902.228
Romania,ROU,2010,4027.2402
Romania,ROU,2022,2331.5156
