Entity,Code,Year,particip_vdem_owid,particip_vdem_high_owid,particip_vdem_low_owid
Argentina,ARG,1789,0.059,0.087,0.007
Argentina,ARG,1850,0.232,0.272,0.178
Argentina,ARG,1900,0.558,0.619,0.512
Argentina,ARG,1950,0.54,0.601,0.48
Argentina,ARG,2000,0.631,0.662,0.61
Argentina,ARG,2022,0.621,0.655,0.598
Australia,AUS,1789,0.083,0.12,0.013
Australia,AUS,1850,0.227,0.316,0.14
Australia,AUS,1900,0.609,0.655,0.584
Australia,AUS,1950,0.678,0.72,0.657
Australia,AUS,2000,0.669,0.71,0.647
Australia,AUS,2022,0.657,0.71,0.632
Botswana,BWA,1900,0.062,0.091,0.011
Botswana,BWA,1950,0.073,0.103,0.012
Botswana,BWA,2000,0.62,0.672,0.585
Botswana,BWA,2022,0.598,0.648,0.568
China,CHN,1789,0.046,0.068,0.007
China,CHN,1850,0.046,0.068,0.007
China,CHN,1900,0.055,0.08,0.015
China,CHN,1950,0.057,0.081,0.015
China,CHN,2000,0.14,0.196,0.08
China,CHN,2022,0.146,0.199,0.088
