Entity,Code,Year,"Number of new cases of tetanus per 100,000 people, in both sexes aged all ages"
Bulgaria,BGR,1990,0.08189997
Bulgaria,BGR,1995,0.078800604
Bulgaria,BGR,2000,0.040122077
Bulgaria,BGR,2005,0.02771339
Bulgaria,BGR,2010,0.037272736
Bulgaria,BGR,2015,0.027306156
Bulgaria,BGR,2019,0.022845482
Northern Ireland,,1990,0.027100246
Northern Ireland,,1995,0.021061754
Northern Ireland,,2000,0.010117535
Northern Ireland,,2005,0.0057604783
Northern Ireland,,2010,0.006638573
Northern Ireland,,2015,0.005110648
Northern Ireland,,2019,0.0048791543
Slovakia,SVK,1990,0.031842437
Slovakia,SVK,1995,0.030312438
Slovakia,SVK,2000,0.029384457
Slovakia,SVK,2005,0.029260764
Slovakia,SVK,2010,0.02903445
Slovakia,SVK,2015,0.027754657
Slovakia,SVK,2019,0.027214278
Thailand,THA,1990,2.8553412
Thailand,THA,1995,2.2827969
Thailand,THA,2000,1.2582973
Thailand,THA,2005,0.62688595
Thailand,THA,2010,0.53806674
Thailand,THA,2015,0.45584732
Thailand,THA,2019,0.39823067
