Entity,Code,Year,Old-age dependency ratio - Sex: all - Age: none - Variant: estimates
Europe (UN),,1950,12.09
Europe (UN),,1960,13.6
Europe (UN),,1970,16.3
Europe (UN),,1980,18.94
Europe (UN),,1990,19.03
Europe (UN),,2000,21.79
Europe (UN),,2010,23.87
Europe (UN),,2021,29.89
Oman,OMN,1950,5.57
Oman,OMN,1960,6.15
Oman,OMN,1970,6.94
Oman,OMN,1980,6.3
Oman,OMN,1990,4.64
Oman,OMN,2000,4.06
Oman,OMN,2010,3.59
Oman,OMN,2021,3.96
Somalia,SOM,1950,4.63
Somalia,SOM,1960,6.04
Somalia,SOM,1970,6.45
Somalia,SOM,1980,6.38
Somalia,SOM,1990,6.08
Somalia,SOM,2000,5.22
Somalia,SOM,2010,5.01
Somalia,SOM,2021,5.18
