Entity,Code,Year,Normalised harmonized learning score,Expected Years of School,Population,World Region according to the World Bank
Afghanistan,AFG,2020,0.61060035,8.901891,38972236.0,
Algeria,DZA,2020,0.64387107,11.848035,43451668.0,
Angola,AGO,2020,0.56104213,8.120066,33428490.0,
Argentina,ARG,2020,0.7025347,12.879523,45036032.0,
Armenia,ARM,2020,0.7624259,11.27987,2805610.0,
Bangladesh,BGD,2020,0.63393337,10.163543,167420944.0,
Botswana,BWA,2020,0.67352545,8.1184635,2546404.0,
Brazil,BRA,2020,0.7112646,11.907047,213196304.0,
Burkina Faso,BFA,2020,0.6947579,7.0187864,21522632.0,
Burundi,BDI,2020,0.727621,7.635572,12220229.0,
Cambodia,KHM,2020,0.777779,9.46578,16396864.0,
Cameroon,CMR,2020,0.6520978,8.721478,26491090.0,
Central African Republic,CAF,2020,0.6346474,4.5699997,5343024.0,
Chad,TCD,2020,0.57334137,5.3105917,16644707.0,
China,CHN,2020,0.7590361,13.137794,1424929792.0,
Colombia,COL,2020,0.72121775,12.860374,50930656.0,
Dominican Republic,DOM,2020,0.5941765,11.873949,10999668.0,
Egypt,EGY,2020,0.61271346,11.463501,107465128.0,
Eswatini,SWZ,2020,0.7578391,6.423722,1180663.0,
Ethiopia,ETH,2020,0.59930986,7.806441,117190920.0,
Gabon,GAB,2020,0.78507346,8.255538,2292583.0,
Ghana,GHA,2020,0.528874,12.120074,32180402.0,
Greece,GRC,2020,0.80660284,13.288893,10512232.0,
Guatemala,GTM,2020,0.69751734,9.712481,17362716.0,
Haiti,HTI,2020,0.5814377,11.378,11306804.0,
India,IND,2020,0.686747,11.124953,1396387072.0,
Indonesia,IDN,2020,0.67971617,12.388372,271857984.0,
Iran,IRN,2020,0.74373186,11.849552,87290192.0,
Iraq,IRQ,2020,0.6255292,6.9319277,42556988.0,
Japan,JPN,2020,0.9255137,13.639852,125244760.0,
Jordan,JOR,2020,0.7400242,11.143815,10928723.0,
Kenya,KEN,2020,0.7830609,11.634634,51985780.0,
Kosovo,OWID_KOS,2020,0.64294106,13.169,1670702.0,
Lesotho,LSO,2020,0.67626846,10.043679,2254104.0,
Liberia,LBR,2020,0.5709913,4.1569886,5087591.0,
Luxembourg,LUX,2020,0.8482751,12.422162,630401.0,
Malaysia,MYS,2020,0.76708317,12.466033,33199988.0,
Mexico,MEX,2020,0.74021536,12.824008,125998296.0,
Morocco,MAR,2020,0.6547422,10.379854,36688768.0,
Mozambique,MOZ,2020,0.63381,7.5897245,31178242.0,
Myanmar,MMR,2020,0.7308628,9.9909725,53423200.0,
Niger,NER,2020,0.5248231,5.49825,24333644.0,
Nigeria,NGA,2020,0.5318846,10.19,208327408.0,
North America,,2020,,,594263186.0,
Pakistan,PAK,2020,0.5828856,9.373868,227196736.0,
Paraguay,PRY,2020,0.6635874,11.309477,6618700.0,
Philippines,PHL,2020,0.6224544,12.948321,112190984.0,
Russia,RUS,2020,0.85636187,13.689792,145617328.0,
Singapore,SGP,2020,0.9901414,13.9209,5909874.0,
South Africa,ZAF,2020,0.5899552,10.217316,58801928.0,
Tanzania,TZA,2020,0.66864055,7.215487,61704520.0,
Togo,TGO,2020,0.6604437,9.728404,8442583.0,
Turkey,TUR,2020,0.82265514,12.066183,84135432.0,
Ukraine,UKR,2020,0.8230178,12.906558,43909664.0,
United States,USA,2020,0.88089275,12.891751,335942016.0,
Zimbabwe,ZWE,2020,0.6818224,11.054537,15669663.0,
