Entity,Code,Year,civ_libs_vdem_owid,civ_libs_vdem_high_owid,civ_libs_vdem_low_owid
Argentina,ARG,1789,0.27,0.319,0.206
Argentina,ARG,1850,0.377,0.439,0.316
Argentina,ARG,1900,0.681,0.734,0.635
Argentina,ARG,1950,0.602,0.654,0.551
Argentina,ARG,2000,0.93,0.954,0.913
Argentina,ARG,2022,0.878,0.908,0.852
Australia,AUS,1789,0.483,0.531,0.44
Australia,AUS,1850,0.83,0.875,0.789
Australia,AUS,1900,0.835,0.886,0.798
Australia,AUS,1950,0.911,0.948,0.89
Australia,AUS,2000,0.954,0.975,0.939
Australia,AUS,2022,0.93,0.96,0.912
Botswana,BWA,1900,0.329,0.377,0.279
Botswana,BWA,1950,0.355,0.4,0.302
Botswana,BWA,2000,0.895,0.922,0.867
Botswana,BWA,2022,0.835,0.878,0.8
China,CHN,1789,0.124,0.155,0.088
China,CHN,1850,0.119,0.144,0.08
China,CHN,1900,0.132,0.16,0.096
China,CHN,1950,0.08,0.101,0.06
China,CHN,2000,0.274,0.307,0.226
China,CHN,2022,0.174,0.204,0.145
World,OWID_WRL,1789,0.2646883,0.30994806,0.21446753
World,OWID_WRL,1850,0.3697315,0.41787964,0.31801853
World,OWID_WRL,1900,0.39913607,0.44243538,0.35346258
World,OWID_WRL,1950,0.3925,0.43304545,0.35154545
World,OWID_WRL,2000,0.67428654,0.71410114,0.6373315
World,OWID_WRL,2022,0.6675754,0.70967036,0.6291229
