Entity,Code,Year,"Current number of cases of lymphatic filariasis, in both sexes aged all ages"
Nauru,NRU,1990,0.0
Nauru,NRU,1995,0.0
Nauru,NRU,2000,0.0
Nauru,NRU,2005,0.0
Nauru,NRU,2010,0.0
Nauru,NRU,2015,0.0
Nauru,NRU,2019,0.0
Nigeria,NGA,1990,14931962.0
Nigeria,NGA,1995,18712204.0
Nigeria,NGA,2000,27034976.0
Nigeria,NGA,2005,13825190.0
Nigeria,NGA,2010,5170348.0
Nigeria,NGA,2015,14327836.0
Nigeria,NGA,2019,5017495.5
Saint Kitts and Nevis,KNA,1990,0.0
Saint Kitts and Nevis,KNA,1995,0.0
Saint Kitts and Nevis,KNA,2000,0.0
Saint Kitts and Nevis,KNA,2005,0.0
Saint Kitts and Nevis,KNA,2010,0.0
Saint Kitts and Nevis,KNA,2015,0.0
Saint Kitts and Nevis,KNA,2019,0.0
Tanzania,TZA,1990,4247217.0
Tanzania,TZA,1995,5534990.5
Tanzania,TZA,2000,7373935.0
Tanzania,TZA,2005,6435461.0
Tanzania,TZA,2010,2351118.8
Tanzania,TZA,2015,548423.9
Tanzania,TZA,2019,357240.5
