Entity,Code,Year,counterarg_polch_vdem_owid,counterarg_polch_vdem_low_owid,counterarg_polch_vdem_high_owid
Argentina,ARG,1900,-0.042,-0.552,0.358
Argentina,ARG,1920,0.404,-0.038,0.882
Argentina,ARG,1940,0.496,0.014,0.918
Argentina,ARG,1960,1.612,1.081,2.065
Argentina,ARG,1980,-1.481,-2.025,-0.97
Argentina,ARG,2000,2.141,1.551,2.646
Argentina,ARG,2022,0.284,-0.056,0.682
Australia,AUS,1920,1.453,0.896,1.98
Australia,AUS,1940,1.225,0.596,1.767
Australia,AUS,1960,1.56,1.209,1.918
Australia,AUS,1980,1.56,1.209,1.918
Australia,AUS,2000,1.56,1.209,1.918
Australia,AUS,2022,1.584,1.21,1.938
Botswana,BWA,1900,-1.913,-2.661,-1.268
Botswana,BWA,1920,-1.913,-2.661,-1.268
Botswana,BWA,1940,-1.913,-2.661,-1.268
Botswana,BWA,1960,-0.89,-1.616,-0.235
Botswana,BWA,1980,1.166,0.669,1.611
Botswana,BWA,2000,1.538,1.212,1.803
Botswana,BWA,2022,1.088,0.586,1.665
China,CHN,1900,-2.095,-2.577,-1.587
China,CHN,1920,-0.464,-0.716,-0.196
China,CHN,1940,-0.321,-0.529,-0.017
China,CHN,1960,-2.07,-2.488,-1.505
China,CHN,1980,-0.749,-1.046,-0.415
China,CHN,2000,-0.667,-0.962,-0.363
China,CHN,2022,-1.752,-2.277,-1.163
