Entity,Code,Year,Annual nitrous oxide emissions in CO₂ equivalents
Brazil,BRA,1850,1445243.2
Brazil,BRA,1860,1617076.0
Brazil,BRA,1880,2219664.0
Brazil,BRA,1900,4006444.0
Brazil,BRA,1920,8143666.0
Brazil,BRA,1940,10065675.0
Brazil,BRA,1960,41581424.0
Brazil,BRA,1980,91683520.0
Brazil,BRA,2000,119721420.0
Brazil,BRA,2021,179779460.0
Cape Verde,CPV,1850,1869.0342
Cape Verde,CPV,1860,2107.0513
Cape Verde,CPV,1880,3067.715
Cape Verde,CPV,1900,3803.4197
Cape Verde,CPV,1920,6081.067
Cape Verde,CPV,1940,7357.915
Cape Verde,CPV,1960,18858.457
Cape Verde,CPV,1980,30023.13
Cape Verde,CPV,2000,79832.83
Cape Verde,CPV,2021,69996.77
Mexico,MEX,1850,554026.25
Mexico,MEX,1860,619619.06
Mexico,MEX,1880,847420.8
Mexico,MEX,1900,1486441.5
Mexico,MEX,1920,2960480.5
Mexico,MEX,1940,3623606.8
Mexico,MEX,1960,14537887.0
Mexico,MEX,1980,30502322.0
Mexico,MEX,2000,74529496.0
Mexico,MEX,2021,113991080.0
