Entity,Code,Year,"10.b.1 - Total assistance for development, by recipient countries (millions of current United States dollars) - DC_TRF_TOTL"
Bangladesh,BGD,2000,1038710000.0
Bangladesh,BGD,2005,1624770000.0
Bangladesh,BGD,2010,1359890000.0
Bangladesh,BGD,2015,3166980000.0
Bangladesh,BGD,2021,7395280000.0
China,CHN,2000,889480000.0
China,CHN,2005,23346140000.0
China,CHN,2010,50168740000.0
China,CHN,2015,15014660000.0
China,CHN,2021,21533070000.0
Democratic Republic of Congo,COD,2000,193090000.0
Democratic Republic of Congo,COD,2005,1655910000.0
Democratic Republic of Congo,COD,2010,2980260000.0
Democratic Republic of Congo,COD,2015,2770100000.0
Democratic Republic of Congo,COD,2021,3757390000.0
India,IND,2000,2286010000.0
India,IND,2005,8746050000.0
India,IND,2010,28774390000.0
India,IND,2015,9790160000.0
India,IND,2021,19463450000.0
Indonesia,IDN,2000,2351690000.0
Indonesia,IDN,2005,7944610000.0
Indonesia,IDN,2010,6455980000.0
Indonesia,IDN,2015,13102420000.0
Indonesia,IDN,2021,9128510000.0
Pakistan,PAK,2000,16680000.0
Pakistan,PAK,2005,2437240000.0
Pakistan,PAK,2010,3203180000.0
Pakistan,PAK,2015,3495390000.0
Pakistan,PAK,2021,4051300000.0
