Entity,Code,Year,net_traded_deforestation
Australia,AUS,2005,-31662.449018521096
Australia,AUS,2006,-28580.970258986978
Australia,AUS,2007,-20445.08179893614
Australia,AUS,2008,-9997.944998526064
Australia,AUS,2009,-11911.745983730034
Australia,AUS,2010,-15258.97102230502
Australia,AUS,2011,-12292.851164238422
Australia,AUS,2012,-10031.455414948216
Australia,AUS,2013,-33257.59509830948
Brazil,BRA,2005,-490102.685177424
Brazil,BRA,2006,-447555.8736959181
Brazil,BRA,2007,-367228.614043216
Brazil,BRA,2008,-249158.06227307604
Brazil,BRA,2009,-193571.99998918737
Brazil,BRA,2010,-216446.5259123223
Brazil,BRA,2011,-221182.0428120338
Brazil,BRA,2012,-300611.9940675446
Brazil,BRA,2013,-329112.99874438066
France,FRA,2005,39049.00127015411
France,FRA,2006,36215.11105849618
France,FRA,2007,32482.639386598992
France,FRA,2008,29031.762760887
France,FRA,2009,26503.012632330876
France,FRA,2010,24171.714236792875
France,FRA,2011,23363.77182433053
France,FRA,2012,25091.081856529177
France,FRA,2013,21888.559406761666
Germany,DEU,2005,46834.52913764328
Germany,DEU,2006,48728.38627927452
Germany,DEU,2007,51240.46001920746
Germany,DEU,2008,45485.67892834225
Germany,DEU,2009,48914.77767460314
Germany,DEU,2010,46622.591615153426
Germany,DEU,2011,42165.76320807876
Germany,DEU,2012,45163.42441463515
Germany,DEU,2013,36883.039541359256
India,IND,2005,48351.264966769224
India,IND,2006,63949.4101942758
India,IND,2007,83050.46756841207
India,IND,2008,109762.47205756992
India,IND,2009,137631.49483142816
India,IND,2010,80315.93492808678
India,IND,2011,98901.5709087788
India,IND,2012,110834.76576452538
India,IND,2013,106160.0290061181
