Entity,Code,Year,Mean male height (cm),Continent
Argentina,ARG,1896,162.3372683,
Argentina,ARG,1996,174.6157252,
Fiji,FJI,1896,168.6022921,
Fiji,FJI,1996,173.9016453,
Iraq,IRQ,1896,159.2569036,
Iraq,IRQ,1996,170.4300961,
Madagascar,MDG,1896,158.6822316,
Madagascar,MDG,1996,161.5474932,
Poland,POL,1896,163.6641238,
Poland,POL,1996,177.3269817,
Senegal,SEN,1896,166.6698452,
Senegal,SEN,1996,173.1387425,
Sri Lanka,LKA,1896,156.9238857,
Sri Lanka,LKA,1996,165.6894656,
Uganda,UGA,1896,162.1782606,
Uganda,UGA,1996,165.6249322,
