Entity,Code,Year,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Rate)
Germany,DEU,1990,37.51
Germany,DEU,1995,41.52
Germany,DEU,2000,42.92
Germany,DEU,2005,43.35
Germany,DEU,2010,45.72
Germany,DEU,2015,53.19
Germany,DEU,2019,58.36
Japan,JPN,1990,22.6
Japan,JPN,1995,31.88
Japan,JPN,2000,45.72
Japan,JPN,2005,62.5
Japan,JPN,2010,90.46
Japan,JPN,2015,112.99
Japan,JPN,2019,129.02
United Kingdom,GBR,1990,32.06
United Kingdom,GBR,1995,35.66
United Kingdom,GBR,2000,38.46
United Kingdom,GBR,2005,41.1
United Kingdom,GBR,2010,44.91
United Kingdom,GBR,2015,46.15
United Kingdom,GBR,2019,48.24
