Entity,Code,Year,GDP (Fouquin and Hugot (CEPII 2016))
Antigua and Barbuda,ATG,1980,47361136.0
Antigua and Barbuda,ATG,2000,518062720.0
Antigua and Barbuda,ATG,2014,742023680.0
Botswana,BWA,1960,10861226.0
Botswana,BWA,1980,456495520.0
Botswana,BWA,2000,3825686272.0
Botswana,BWA,2014,9650871296.0
China,CHN,1840,1434435712.0
China,CHN,1860,1384306816.0
China,CHN,1880,1041269568.0
China,CHN,1900,975581632.0
China,CHN,1960,21137192960.0
China,CHN,1980,81605443584.0
China,CHN,2000,796594143232.0
China,CHN,2014,6290680578048.0
Cyprus,CYP,1960,91600000.0
Cyprus,CYP,1980,926989312.0
Cyprus,CYP,2000,6562802176.0
Cyprus,CYP,2014,14115808256.0
Hungary,HUN,1940,358375936.0
Hungary,HUN,1960,1338393472.0
Hungary,HUN,1980,9536541696.0
Hungary,HUN,2000,31176030208.0
Hungary,HUN,2014,84077404160.0
Kyrgyzstan,KGZ,2000,905271808.0
Kyrgyzstan,KGZ,2014,4538586112.0
Papua New Guinea,PNG,1960,82320048.0
Papua New Guinea,PNG,1980,1095523712.0
Papua New Guinea,PNG,2000,2327368192.0
Papua New Guinea,PNG,2014,10288066560.0
Portugal,PRT,1827,39217220.0
Portugal,PRT,1840,36561380.0
Portugal,PRT,1860,75981600.0
Portugal,PRT,1880,133334408.0
Portugal,PRT,1900,161234176.0
Portugal,PRT,1920,170167504.0
Portugal,PRT,1940,238050752.0
Portugal,PRT,1960,1140429184.0
Portugal,PRT,1980,14156602368.0
Portugal,PRT,2000,78226792448.0
Portugal,PRT,2014,139848941568.0
Romania,ROU,1960,4524288000.0
Romania,ROU,1980,18294851584.0
Romania,ROU,2000,24744284160.0
Romania,ROU,2014,121135431680.0
Saint Vincent and the Grenadines,VCT,1960,4666657.0
Saint Vincent and the Grenadines,VCT,1980,35430632.0
Saint Vincent and the Grenadines,VCT,2000,261907136.0
Saint Vincent and the Grenadines,VCT,2014,443484000.0
United States Virgin Islands,VIR,1960,8642861.0
United States Virgin Islands,VIR,1980,313168704.0
