Entity,Code,Year,justcomgd_polch_vdem_owid,justcomgd_polch_vdem_low_owid,justcomgd_polch_vdem_high_owid
Argentina,ARG,1900,-0.484,-1.042,0.053
Argentina,ARG,1920,1.509,0.791,2.174
Argentina,ARG,1940,0.059,-0.456,0.646
Argentina,ARG,1960,0.849,0.255,1.483
Argentina,ARG,1980,-0.174,-0.719,0.379
Argentina,ARG,2000,1.076,0.699,1.475
Argentina,ARG,2022,0.918,0.412,1.342
Australia,AUS,1920,1.195,0.765,1.579
Australia,AUS,1940,1.195,0.765,1.579
Australia,AUS,1960,1.195,0.765,1.579
Australia,AUS,1980,1.195,0.765,1.579
Australia,AUS,2000,1.195,0.765,1.579
Australia,AUS,2022,1.267,0.76,1.609
Botswana,BWA,1900,-1.841,-2.966,-0.704
Botswana,BWA,1920,-1.841,-2.966,-0.704
Botswana,BWA,1940,-1.841,-2.966,-0.704
Botswana,BWA,1960,-1.841,-2.966,-0.704
Botswana,BWA,1980,0.988,0.636,1.313
Botswana,BWA,2000,0.988,0.636,1.313
Botswana,BWA,2022,1.006,0.467,1.521
China,CHN,1900,0.593,0.318,0.817
China,CHN,1920,1.0,0.656,1.3
China,CHN,1940,0.904,0.584,1.175
China,CHN,1960,1.022,0.685,1.296
China,CHN,1980,1.92,1.375,2.437
China,CHN,2000,1.804,1.262,2.237
China,CHN,2022,0.532,0.111,0.961
