Entity,Code,Year,Number of homicides - firearms
Colombia,COL,2005,14763
Colombia,COL,2006,13915
Colombia,COL,2008,12958
Colombia,COL,2010,12528
Colombia,COL,2012,12925
Colombia,COL,2014,9861
Colombia,COL,2016,8824
Colombia,COL,2018,9406
Colombia,COL,2020,9379
Colombia,COL,2021,10721
Guatemala,GTM,2008,5237
Guatemala,GTM,2010,5009
Guatemala,GTM,2012,4226
Guatemala,GTM,2014,4128
Guatemala,GTM,2016,5438
Guatemala,GTM,2018,1131
Guatemala,GTM,2020,617
Guatemala,GTM,2021,605
Mexico,MEX,2014,11944
Mexico,MEX,2016,15926
Mexico,MEX,2018,25699
Mexico,MEX,2020,25635
Mexico,MEX,2021,24496
United States,USA,2005,10158
United States,USA,2006,10225
United States,USA,2008,9528
United States,USA,2010,8874
United States,USA,2012,8855
United States,USA,2014,8312
United States,USA,2016,10398
United States,USA,2018,10484
United States,USA,2020,13620
