Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Under 5 (Number)
African Region (WHO),,1990,447410
African Region (WHO),,1995,491834
African Region (WHO),,2000,543150
African Region (WHO),,2005,575111
African Region (WHO),,2010,540479
African Region (WHO),,2015,409999
African Region (WHO),,2019,342099
Eastern Mediterranean Region (WHO),,1990,10146
Eastern Mediterranean Region (WHO),,1995,9487
Eastern Mediterranean Region (WHO),,2000,8333
Eastern Mediterranean Region (WHO),,2005,4876
Eastern Mediterranean Region (WHO),,2010,2947
Eastern Mediterranean Region (WHO),,2015,4425
Eastern Mediterranean Region (WHO),,2019,4085
European Region (WHO),,1990,563
European Region (WHO),,1995,199
European Region (WHO),,2000,63
European Region (WHO),,2005,73
European Region (WHO),,2010,0
European Region (WHO),,2015,0
European Region (WHO),,2019,0
Region of the Americas (WHO),,1990,2727
Region of the Americas (WHO),,1995,2226
Region of the Americas (WHO),,2000,1404
Region of the Americas (WHO),,2005,463
Region of the Americas (WHO),,2010,426
Region of the Americas (WHO),,2015,130
Region of the Americas (WHO),,2019,144
South-East Asia Region (WHO),,1990,91807
South-East Asia Region (WHO),,1995,64625
South-East Asia Region (WHO),,2000,33140
South-East Asia Region (WHO),,2005,32862
South-East Asia Region (WHO),,2010,26582
South-East Asia Region (WHO),,2015,18080
South-East Asia Region (WHO),,2019,9809
Western Pacific Region (WHO),,1990,1030
Western Pacific Region (WHO),,1995,776
Western Pacific Region (WHO),,2000,733
Western Pacific Region (WHO),,2005,626
Western Pacific Region (WHO),,2010,462
Western Pacific Region (WHO),,2015,181
Western Pacific Region (WHO),,2019,150
