Entity,Code,Year,wom_pol_par_vdem_owid,wom_pol_par_vdem_high_owid,wom_pol_par_vdem_low_owid
Argentina,ARG,1789,0.124,0.174,0.047
Argentina,ARG,1850,0.124,0.174,0.047
Argentina,ARG,1900,0.124,0.174,0.047
Argentina,ARG,1950,0.416,0.497,0.351
Argentina,ARG,2000,0.973,0.982,0.964
Argentina,ARG,2022,0.998,0.999,0.998
Australia,AUS,1789,0.215,0.272,0.142
Australia,AUS,1950,0.384,0.459,0.286
Australia,AUS,2000,0.979,0.99,0.973
Australia,AUS,2022,0.999,1.0,0.998
Botswana,BWA,1900,0.076,0.116,0.021
Botswana,BWA,1950,0.076,0.116,0.021
Botswana,BWA,2000,0.752,0.794,0.716
Botswana,BWA,2022,0.622,0.686,0.562
China,CHN,1789,0.204,0.258,0.16
China,CHN,1850,0.204,0.258,0.16
China,CHN,1900,0.204,0.258,0.16
China,CHN,1950,0.584,0.62,0.543
China,CHN,2000,0.88,0.896,0.864
China,CHN,2022,0.825,0.867,0.8
