Entity,Code,Year,Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Rate)
Belize,BLZ,1990,0.66
Belize,BLZ,1995,0.51
Belize,BLZ,2000,0.21
Belize,BLZ,2005,0.17
Belize,BLZ,2010,0.12
Belize,BLZ,2015,0.09
Belize,BLZ,2019,0.09
Saint Lucia,LCA,1990,0.25
Saint Lucia,LCA,1995,0.19
Saint Lucia,LCA,2000,0.07
Saint Lucia,LCA,2005,0.05
Saint Lucia,LCA,2010,0.04
Saint Lucia,LCA,2015,0.04
Saint Lucia,LCA,2019,0.04
Zimbabwe,ZWE,1990,2.04
Zimbabwe,ZWE,1995,0.86
Zimbabwe,ZWE,2000,0.83
Zimbabwe,ZWE,2005,0.87
Zimbabwe,ZWE,2010,1.13
Zimbabwe,ZWE,2015,1.04
Zimbabwe,ZWE,2019,0.91
