Entity,Code,Year,"GDP, PPP (constant 2017 international $)"
Brazil,BRA,1990,1567624700000
Brazil,BRA,1995,1823390700000
Brazil,BRA,2000,2027733600000
Brazil,BRA,2005,2338862400000
Brazil,BRA,2010,2910889700000
Brazil,BRA,2015,3080198600000
Brazil,BRA,2021,3127524000000
China,CHN,1990,1616385800000
China,CHN,1995,2881383000000
China,CHN,2000,4358245400000
China,CHN,2005,6954885300000
China,CHN,2010,11884958000000
China,CHN,2015,17403280000000
China,CHN,2021,24861345000000
France,FRA,1990,1964408000000
France,FRA,1995,2094544800000
France,FRA,2000,2420192600000
France,FRA,2005,2631040500000
France,FRA,2010,2740758000000
France,FRA,2015,2884587200000
France,FRA,2021,3048267800000
Germany,DEU,1990,2915151000000
Germany,DEU,1995,3215345300000
Germany,DEU,2000,3529190400000
Germany,DEU,2005,3624472400000
Germany,DEU,2010,3843453600000
Germany,DEU,2015,4179029700000
Germany,DEU,2021,4424338500000
India,IND,1990,1583371300000
India,IND,1995,2028580200000
India,IND,2000,2724476700000
India,IND,2005,3724338300000
India,IND,2010,5227155600000
India,IND,2015,7159189000000
India,IND,2021,9278720000000
Japan,JPN,1990,4055806500000
Japan,JPN,1995,4374905000000
Japan,JPN,2000,4607330000000
Japan,JPN,2005,4887398600000
Japan,JPN,2010,4875619400000
Japan,JPN,2015,5136824400000
Japan,JPN,2021,5125846000000
Mexico,MEX,1990,1254868500000
Mexico,MEX,1995,1357424000000
Mexico,MEX,2000,1756121700000
Mexico,MEX,2005,1885682900000
Mexico,MEX,2010,2029715200000
Mexico,MEX,2015,2348076200000
Mexico,MEX,2021,2418307500000
Russia,RUS,1990,3178789600000
Russia,RUS,1995,1974615400000
Russia,RUS,2000,2135907100000
Russia,RUS,2005,2876520800000
Russia,RUS,2010,3422847500000
Russia,RUS,2015,3731610100000
Russia,RUS,2021,4078380500000
United Kingdom,GBR,1990,1805465700000
United Kingdom,GBR,1995,1956315100000
United Kingdom,GBR,2000,2301570600000
United Kingdom,GBR,2005,2592842200000
United Kingdom,GBR,2010,2653161500000
United Kingdom,GBR,2015,2926865800000
United Kingdom,GBR,2021,3028262600000
United States,USA,1990,10098808000000
United States,USA,1995,11462538000000
United States,USA,2000,14157707000000
United States,USA,2005,16057789000000
United States,USA,2010,16863543000000
United States,USA,2015,18739995000000
United States,USA,2021,21131579000000
