Entity,Code,Year,nitrogen_efficiency
China,CHN,1961,62.636101
China,CHN,1970,56.5391398
China,CHN,1980,31.8729647
China,CHN,1990,31.2343887
China,CHN,2000,29.9611946
China,CHN,2010,27.8899465
China,CHN,2014,32.0190341
France,FRA,1961,37.8948113
France,FRA,1970,33.3878379
France,FRA,1980,39.0186658
France,FRA,1990,45.602570799999995
France,FRA,2000,63.3894335
France,FRA,2010,63.6732395
France,FRA,2014,73.8694785
India,IND,1961,43.7331376
India,IND,1970,40.2786802
India,IND,1980,32.8006702
India,IND,1990,30.3774465
India,IND,2000,29.8814829
India,IND,2010,31.4422125
India,IND,2014,34.3442045
Netherlands,NLD,1961,18.1480489
Netherlands,NLD,1970,13.957377500000002
Netherlands,NLD,1980,17.6065065
Netherlands,NLD,1990,32.8183863
Netherlands,NLD,2000,36.281157
Netherlands,NLD,2010,39.1648564
Netherlands,NLD,2014,37.0981583
Thailand,THA,1961,32.269413899999996
Thailand,THA,1970,37.6350663
Thailand,THA,1980,40.4565418
Thailand,THA,1990,29.860498699999997
Thailand,THA,2000,30.1773303
Thailand,THA,2010,28.331669
Thailand,THA,2014,38.2178135
United States,USA,1961,71.89725030000001
United States,USA,1970,49.101892
United States,USA,1980,50.264092999999995
United States,USA,1990,59.729875
United States,USA,2000,62.7619256
United States,USA,2010,65.1009814
United States,USA,2014,71.6114487
