Entity,Code,Year,Number of moderately or severely food insecure people (million) (3-year average) | 00210081 || Value | 006132 || million Number
Cape Verde,CPV,2017,200000.0
Cape Verde,CPV,2018,200000.0
Cape Verde,CPV,2019,200000.0
Cape Verde,CPV,2020,200000.0
Central America (FAO),,2015,49500000.0
Central America (FAO),,2016,48900000.0
Central America (FAO),,2017,47800000.0
Central America (FAO),,2018,48800000.0
Central America (FAO),,2019,53100000.0
Central America (FAO),,2020,57800000.0
Guinea,GIN,2015,8300000.000000001
Guinea,GIN,2016,8600000.0
Guinea,GIN,2017,8900000.0
Guinea,GIN,2018,9200000.0
Guinea,GIN,2019,9500000.0
Guinea,GIN,2020,9600000.0
Lower-middle-income economies (FAO),,2015,857800000.0
Lower-middle-income economies (FAO),,2016,882400000.0
Lower-middle-income economies (FAO),,2017,938800000.0
Lower-middle-income economies (FAO),,2018,1003800000.0
Lower-middle-income economies (FAO),,2019,1144500000.0
Lower-middle-income economies (FAO),,2020,1242600000.0
Malaysia,MYS,2015,5300000.0
Malaysia,MYS,2016,4600000.0
Malaysia,MYS,2017,4700000.0
Malaysia,MYS,2018,4700000.0
Malaysia,MYS,2019,4800000.0
Malaysia,MYS,2020,5000000.0
Paraguay,PRY,2015,600000.0
Paraguay,PRY,2016,700000.0
Paraguay,PRY,2017,1100000.0
Paraguay,PRY,2018,1500000.0
Paraguay,PRY,2019,1700000.0
Paraguay,PRY,2020,1800000.0
Saint Lucia,LCA,2015,100000.0
Saint Lucia,LCA,2016,100000.0
Saint Lucia,LCA,2017,100000.0
Trinidad and Tobago,TTO,2020,600000.0
Vietnam,VNM,2017,5900000.0
Vietnam,VNM,2018,6000000.0
Vietnam,VNM,2019,6200000.0
Vietnam,VNM,2020,7400000.0
Western Europe (FAO),,2015,10000000.0
Western Europe (FAO),,2016,9400000.0
Western Europe (FAO),,2017,9100000.0
Western Europe (FAO),,2018,8700000.0
Western Europe (FAO),,2019,8300000.000000001
Western Europe (FAO),,2020,8600000.0
