Entity,Code,Year,Prevalence of current tobacco use (% of adults)
Benin,BEN,2000,16.7
Benin,BEN,2005,13.4
Benin,BEN,2010,10.7
Benin,BEN,2015,8.6
Benin,BEN,2020,6.9
East Asia and Pacific (WB),,2000,29.8359
East Asia and Pacific (WB),,2005,28.880413
East Asia and Pacific (WB),,2010,27.870008
East Asia and Pacific (WB),,2015,27.027626
East Asia and Pacific (WB),,2020,26.318007
Low-income countries,,2000,21.742748
Low-income countries,,2005,18.798496
Low-income countries,,2010,16.31656
Low-income countries,,2015,14.271255
Low-income countries,,2020,12.524937
Peru,PER,2000,32.9
Peru,PER,2005,23.1
Peru,PER,2010,16.3
Peru,PER,2015,11.5
Peru,PER,2020,8.1
Turkmenistan,TKM,2000,12.0
Turkmenistan,TKM,2005,9.9
Turkmenistan,TKM,2010,8.2
Turkmenistan,TKM,2015,6.7
Turkmenistan,TKM,2020,5.5
Vietnam,VNM,2000,29.8
Vietnam,VNM,2005,28.3
Vietnam,VNM,2010,27.0
Vietnam,VNM,2015,26.0
Vietnam,VNM,2020,24.8
Zimbabwe,ZWE,2000,21.0
Zimbabwe,ZWE,2005,18.1
Zimbabwe,ZWE,2010,15.6
Zimbabwe,ZWE,2015,13.6
Zimbabwe,ZWE,2020,11.7
