Entity,Code,Year,Share of people who are happy (Eurobarometer 2017)
Finland,FIN,2000,87.63031
Finland,FIN,2010,94.22094
Finland,FIN,2016,94.704308
France,FRA,1973,77.0
France,FRA,1980,71.16935
France,FRA,1990,77.012886
France,FRA,2000,80.218231
France,FRA,2010,82.972595
France,FRA,2016,84.065941
Germany,DEU,1973,82.0
Germany,DEU,1980,85.203575
Germany,DEU,1990,88.522186
Germany,DEU,2000,75.939133
Germany,DEU,2010,85.669914
Germany,DEU,2016,90.324211
Ireland,IRL,1973,92.0
Ireland,IRL,1980,86.21032
Ireland,IRL,1990,86.686684
Ireland,IRL,2000,87.249886
Ireland,IRL,2010,85.548447
Ireland,IRL,2016,94.526169
Spain,ESP,1990,76.600006
Spain,ESP,2000,81.940857
Spain,ESP,2010,76.779137
Spain,ESP,2016,78.128365
Sweden,SWE,2000,94.38855
Sweden,SWE,2010,95.945374
Sweden,SWE,2016,96.184067
United Kingdom,GBR,1973,85.0
United Kingdom,GBR,1980,86.451164
United Kingdom,GBR,1990,85.609459
United Kingdom,GBR,2000,86.877144
United Kingdom,GBR,2010,90.091301
United Kingdom,GBR,2016,93.058792
