Entity,Code,Year,Annual CO₂ emissions (per capita),Renewables - % electricity,Continent
Africa,,2022,0.99422127,23.241447,
Algeria,DZA,2022,3.9272263,0.83918226,
Argentina,ARG,2022,4.2378173,31.493599,
Asia,,2022,4.611434,24.77599,
Australia,AUS,2022,14.985412,33.215137,
Austria,AUT,2022,6.8781943,77.321,
Azerbaijan,AZE,2022,3.6746833,6.3433867,
Bangladesh,BGD,2022,0.5964455,1.9126965,
Belarus,BLR,2022,6.1669006,2.7111096,
Belgium,BEL,2022,7.6875386,25.475565,
Bolivia,BOL,2022,1.7583066,37.53327,
Bosnia and Herzegovina,BIH,2022,6.1034565,33.474323,
Brazil,BRA,2022,2.2454574,86.97733,
Bulgaria,BGR,2022,6.8044534,18.670885,
Burundi,BDI,2022,0.06194545,69.44444,
Canada,CAN,2022,14.249212,69.714294,
Chile,CHL,2022,4.3041654,52.95602,
Colombia,COL,2022,1.9223082,76.194984,
Costa Rica,CRI,2022,1.5226681,98.020584,
Croatia,HRV,2022,4.348515,63.269634,
Czechia,CZE,2022,9.3357525,12.344081,
Denmark,DNK,2022,4.940161,83.99187,
Egypt,EGY,2022,2.333106,11.220567,
Estonia,EST,2022,7.77628,44.36536,
Europe,,2022,6.8578663,35.025696,
Finland,FIN,2022,6.5267396,54.62427,
High-income countries,,2022,10.136309,28.278028,
Iceland,ISL,2022,9.499798,99.98556,
Indonesia,IDN,2022,2.6456614,19.610842,
Iran,IRN,2022,7.7993317,2.714503,
Ireland,IRL,2022,7.7211185,38.601192,
Israel,ISR,2022,6.208912,9.508357,
Kazakhstan,KAZ,2022,13.979704,11.340663,
Kuwait,KWT,2022,25.578102,0.06809206,
Latvia,LVA,2022,3.561689,71.99211,
Luxembourg,LUX,2022,11.618432,85.365845,
Malaysia,MYS,2022,8.576508,19.101,
Mongolia,MNG,2022,11.150772,8.803301,
Nigeria,NGA,2022,0.5891771,27.592648,
North America,,2022,10.5346775,26.919325,
Norway,NOR,2022,7.5093055,98.95296,
Oceania,,2022,9.85179,40.69476,
Oman,OMN,2022,15.730261,0.43138313,
Peru,PER,2022,1.7891879,55.08545,
Qatar,QAT,2022,37.601273,0.08017639,
Romania,ROU,2022,3.739777,42.08724,
Russia,RUS,2022,11.416899,18.47013,
Saudi Arabia,SAU,2022,18.197495,0.20916855,
Serbia,SRB,2022,6.024712,27.914894,
South America,,2022,2.4865332,75.078835,
Trinidad and Tobago,TTO,2022,22.423758,0.054762702,
United States,USA,2022,14.949616,22.350597,
