Entity,Code,Year,wom_parl_vdem_owid
Argentina,ARG,1900,0.0
Argentina,ARG,1920,0.0
Argentina,ARG,1940,0.0
Argentina,ARG,1960,1.1
Argentina,ARG,2000,26.46
Argentina,ARG,2022,44.8
Australia,AUS,1920,0.0
Australia,AUS,1940,0.0
Australia,AUS,1960,0.0
Australia,AUS,1980,2.4
Australia,AUS,2000,23.0
Australia,AUS,2022,38.4
Botswana,BWA,1980,5.4
Botswana,BWA,2000,17.02
Botswana,BWA,2022,11.1
China,CHN,1960,12.2
China,CHN,1980,21.2
China,CHN,2000,21.82
China,CHN,2022,24.9
World,OWID_WRL,1900,0.0
World,OWID_WRL,1920,0.14871795
World,OWID_WRL,1940,0.41783097
World,OWID_WRL,1960,5.987106
World,OWID_WRL,1980,11.279117
World,OWID_WRL,2000,12.099125
World,OWID_WRL,2022,25.927399
