Entity,Code,Year,Number of articles per 1 million people - Field: All
Ecuador,ECU,2010,2.2682421
Ecuador,ECU,2012,3.1645806
Ecuador,ECU,2014,6.7677674
Ecuador,ECU,2016,16.36294
Ecuador,ECU,2018,32.205605
Ecuador,ECU,2020,33.373898
Ecuador,ECU,2021,26.969723
Ireland,IRL,2010,149.84813
Ireland,IRL,2012,154.67023
Ireland,IRL,2014,159.01639
Ireland,IRL,2016,161.79683
Ireland,IRL,2018,213.87915
Ireland,IRL,2020,294.77634
Ireland,IRL,2021,304.4204
Malawi,MWI,2010,0.13588409
Malawi,MWI,2012,0.19253911
Malawi,MWI,2014,0.36412248
Malawi,MWI,2016,0.34471616
Malawi,MWI,2018,0.3266571
Malawi,MWI,2020,0.20642969
Malawi,MWI,2021,0.8044348
Nigeria,NGA,2010,0.37277994
Nigeria,NGA,2012,0.4174606
Nigeria,NGA,2014,0.75817114
Nigeria,NGA,2016,0.9593626
Nigeria,NGA,2018,1.2047123
Nigeria,NGA,2020,3.028886
Nigeria,NGA,2021,3.0787063
Oceania,,2010,108.481476
Oceania,,2012,119.42549
Oceania,,2014,141.38165
Oceania,,2016,158.94897
Oceania,,2018,189.06898
Oceania,,2020,242.20555
Oceania,,2021,253.68568
