Entity,Code,Year,Cumulative CO₂ emissions from coal
China,CHN,1950,2250811600.0
China,CHN,2000,59417616000.0
China,CHN,2022,195401450000.0
European Union (27),,1800,5327456.0
European Union (27),,1850,864346300.0
European Union (27),,1900,15585893000.0
European Union (27),,1950,63480127000.0
European Union (27),,2000,138759450000.0
European Union (27),,2022,161369200000.0
India,IND,1900,101567000.0
India,IND,1950,1863509800.0
India,IND,2000,12867451000.0
India,IND,2022,38570357000.0
South Africa,ZAF,1900,31942752.0
South Africa,ZAF,1950,1479086800.0
South Africa,ZAF,2000,10577170000.0
South Africa,ZAF,2022,18862076000.0
United Kingdom,GBR,1750,9305937.0
United Kingdom,GBR,1800,786281660.0
United Kingdom,GBR,1850,3712425500.0
United Kingdom,GBR,1900,16715315000.0
United Kingdom,GBR,1950,38785855000.0
United Kingdom,GBR,2000,54624612000.0
United Kingdom,GBR,2022,56877540000.0
United States,USA,1800,252815.98
United States,USA,1850,189974740.0
United States,USA,1900,10126414000.0
United States,USA,1950,69544840000.0
United States,USA,2000,139104170000.0
United States,USA,2022,176367400000.0
