Entity,Code,Year,military_expenditure
China,CHN,1990,21281576429
China,CHN,2000,41167343480
China,CHN,2010,129359453099
China,CHN,2019,240332555458
China,CHN,2020,244933509535
France,FRA,1949,13537688634
France,FRA,1960,29147052192
France,FRA,1970,33482619883
France,FRA,1980,45591545875
France,FRA,1990,51394871581
France,FRA,2000,45009616285
France,FRA,2010,48414972101
France,FRA,2019,50118929212
France,FRA,2020,51572230107
Germany,DEU,1960,29829120796
Germany,DEU,1970,43054141741
Germany,DEU,1980,56405268242
Germany,DEU,1990,61407531186
Germany,DEU,2000,42402661893
Germany,DEU,2010,41046356061
Germany,DEU,2019,49007512315
Germany,DEU,2020,51570203502
India,IND,1960,3205696282
India,IND,1970,7392693947
India,IND,1980,10823047671
India,IND,1990,20604351223
India,IND,2000,30295535146
India,IND,2010,54032102539
India,IND,2019,71468900524
India,IND,2020,73000865183
Japan,JPN,1960,8961743964
Japan,JPN,1970,16791141645
Japan,JPN,1980,27606671363
Japan,JPN,1990,42690262087
Japan,JPN,2000,46223305973
Japan,JPN,2010,46420031665
Japan,JPN,2019,47609019987
Japan,JPN,2020,48159534537
NATO members,,1949,178747329402
NATO members,,1960,554281297575
NATO members,,1970,739947241132
NATO members,,1980,703659676425
NATO members,,1990,934530873860
NATO members,,2000,740133024574
NATO members,,2010,1150601744515
NATO members,,2019,1045461690383
NATO members,,2020,1087984389503
Russia,RUS,1990,220503153995
Russia,RUS,2000,23583969387
Russia,RUS,2010,49833896789
Russia,RUS,2019,65201335848
Russia,RUS,2020,66838181926
Ukraine,UKR,2000,1185368680
Ukraine,UKR,2010,2238557061
Ukraine,UKR,2019,5419138048
Ukraine,UKR,2020,5995031272
United States,USA,1949,147593457370
United States,USA,1960,409007237692
United States,USA,1970,549163803066
United States,USA,1980,445812659022
United States,USA,1990,636176125531
United States,USA,2000,475217437620
United States,USA,2010,865268024824
United States,USA,2019,734344100000
United States,USA,2020,766582825358
