Entity,Code,Year,Solar electricity per capita - kWh
Australia,AUS,1990,0.0
Australia,AUS,1995,1.1748041
Australia,AUS,2000,2.6290927
Australia,AUS,2005,3.965946
Australia,AUS,2010,44.50668
Australia,AUS,2015,260.28284
Australia,AUS,2020,928.7087
Australia,AUS,2022,1483.722
Austria,AUT,1990,0.0
Austria,AUT,1995,0.0
Austria,AUT,2000,0.0
Austria,AUT,2005,2.4310098
Austria,AUT,2010,10.761909
Austria,AUT,2015,108.76581
Austria,AUT,2020,229.01329
Austria,AUT,2022,327.75455
Cameroon,CMR,2000,0.0
Cameroon,CMR,2005,0.0
Cameroon,CMR,2010,0.0
Cameroon,CMR,2015,0.4345436
Cameroon,CMR,2020,0.75497085
Chad,TCD,2000,0.0
Chad,TCD,2005,0.0
Chad,TCD,2010,0.0
Chad,TCD,2015,0.0
Chad,TCD,2020,0.0
French Guiana,GUF,2000,0.0
French Guiana,GUF,2005,0.0
French Guiana,GUF,2010,0.0
Mauritania,MRT,2000,0.0
Mauritania,MRT,2005,0.0
Mauritania,MRT,2010,0.0
Mauritania,MRT,2015,7.602202
Mauritania,MRT,2020,31.120758
Saint Vincent and the Grenadines,VCT,2000,0.0
Saint Vincent and the Grenadines,VCT,2005,0.0
Saint Vincent and the Grenadines,VCT,2010,0.0
Saint Vincent and the Grenadines,VCT,2015,0.0
Saint Vincent and the Grenadines,VCT,2020,0.0
