Entity,Code,Year,General government procurement expenditure (% of GDP)
Canada,CAN,2007,12.77
Canada,CAN,2008,12.9
Canada,CAN,2010,14.83
Canada,CAN,2012,13.84
Canada,CAN,2014,12.8
Canada,CAN,2016,13.43
Colombia,COL,2007,11.06
Colombia,COL,2008,11.14
Colombia,COL,2010,11.93
Colombia,COL,2012,12.56
Colombia,COL,2014,13.31
Greece,GRC,2007,14.2
Greece,GRC,2008,14.68
Greece,GRC,2010,13.01
Greece,GRC,2012,10.5
Greece,GRC,2014,10.7
Greece,GRC,2016,10.25
Mexico,MEX,2007,4.52
Mexico,MEX,2008,5.27
Mexico,MEX,2010,5.79
Mexico,MEX,2012,5.32
Mexico,MEX,2014,5.45
Netherlands,NLD,2007,18.98
Netherlands,NLD,2008,19.56
Netherlands,NLD,2010,21.38
Netherlands,NLD,2012,20.9
Netherlands,NLD,2014,20.34
Netherlands,NLD,2016,19.54
