Entity,Code,Year,Annual change in primary energy consumption (TWh)
Aruba,ABW,1990,0.121968985
Aruba,ABW,2000,0.7239804
Aruba,ABW,2010,-0.34967422
Benin,BEN,1990,0.33160877
Benin,BEN,2000,4.2882605
Benin,BEN,2010,2.7673016
Brunei,BRN,1990,-3.7367916
Brunei,BRN,2000,0.37799454
Brunei,BRN,2010,5.1782074
Indonesia,IDN,1966,-0.6199341
Indonesia,IDN,1970,7.169754
Indonesia,IDN,1980,21.147827
Indonesia,IDN,1990,55.30963
Indonesia,IDN,2000,76.59119
Indonesia,IDN,2010,132.22302
Indonesia,IDN,2022,559.9734
Solomon Islands,SLB,1990,0.0
Solomon Islands,SLB,2000,0.35228586
Solomon Islands,SLB,2010,0.045788884
Suriname,SUR,1990,1.2971249
Suriname,SUR,2000,-1.7238016
Suriname,SUR,2010,2.3074274
