Entity,Code,Year,"Literacy rate, adult total (% of people ages 15 and above)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Angola,AGO,2022,72.4,,,
Benin,BEN,2022,47.1,,,
Brazil,BRA,2022,94.69,,,
Burkina Faso,BFA,2022,34.49,,,
Burundi,BDI,2022,75.54,,,
Cape Verde,CPV,2022,91.0,,,
Chad,TCD,2022,27.28,,,
Chile,CHL,2022,97.16,,,
Comoros,COM,2022,61.71,,,
Democratic Republic of Congo,COD,2022,80.54,,,
Egypt,EGY,2022,74.5,,,
Gabon,GAB,2022,85.69,,,
Gambia,GMB,2022,58.67,,,
Guatemala,GTM,2022,84.27,,,
Guinea-Bissau,GNB,2022,53.9,,,
Guyana,GUY,2022,90.03,,,
India,IND,2022,76.32278,,,
Iran,IRN,2022,88.96,,,
Kenya,KEN,2022,82.88,,,
Malawi,MWI,2022,68.08,,,
Morocco,MAR,2022,77.35,,,
Niger,NER,2022,38.1,,,
Oman,OMN,2022,97.33906,,,
Senegal,SEN,2022,57.67,,,
Sierra Leone,SLE,2022,48.64,,,
Tanzania,TZA,2022,82.02,,,
Zimbabwe,ZWE,2022,89.85,,,
