Entity,Code,Year,Deaths - All causes - Sex: Both - Age: All Ages (Rate)
Afghanistan,AFG,1990,1.5946
Afghanistan,AFG,1995,1.40924
Afghanistan,AFG,2000,1.31622
Afghanistan,AFG,2005,1.01436
Afghanistan,AFG,2010,0.82128
Afghanistan,AFG,2015,0.73681
Afghanistan,AFG,2019,0.65683
Austria,AUT,1990,1.05238
Austria,AUT,1995,1.00981
Austria,AUT,2000,0.95532
Austria,AUT,2005,0.90939
Austria,AUT,2010,0.90477
Austria,AUT,2015,0.934
Austria,AUT,2019,0.92517
Mongolia,MNG,1990,0.95845
Mongolia,MNG,1995,0.93918
Mongolia,MNG,2000,0.85273
Mongolia,MNG,2005,0.7915700000000001
Mongolia,MNG,2010,0.7587100000000001
Mongolia,MNG,2015,0.6935
Mongolia,MNG,2019,0.7338300000000001
