Entity,Code,Year,Sex ratio - Sex: none - Age: at birth - Variant: estimates,Sex ratio - Sex: none - Age: 5 - Variant: estimates,Continent
Afghanistan,AFG,2021,105.2,104.74,
Africa (UN),,2021,103.6,102.43,
Albania,ALB,2021,107.5,101.87,
American Samoa,ASM,2021,106.0,107.86,
Angola,AGO,2021,102.7,101.07,
Armenia,ARM,2021,109.5,110.38,
Aruba,ABW,2021,104.3,104.6,
Asia (UN),,2021,107.5,108.84,
Azerbaijan,AZE,2021,112.6,113.9,
Bermuda,BMU,2021,104.0,108.31,
Bosnia and Herzegovina,BIH,2021,106.8,105.1,
Cayman Islands,CYM,2021,103.6,70.49,
China,CHN,2021,111.8,114.64,
Falkland Islands,FLK,2021,103.0,119.05,
Italy,ITA,2021,105.9,105.56,
Jersey,JEY,2021,105.4,100.79,
Kuwait,KWT,2021,104.8,114.5,
Liechtenstein,LIE,2021,116.3,118.93,
Malawi,MWI,2021,101.4,100.57,
Montserrat,MSR,2021,104.3,130.0,
Niue,NIU,2021,107.1,94.44,
Northern Mariana Islands,MNP,2021,115.1,116.04,
Tokelau,TKL,2021,103.0,88.24,
