Entity,Code,Year,Relative change in maternal mortality ratio since 1990,World Bank's income classification
Afghanistan,AFG,1990,0.0,Low-income countries
Afghanistan,AFG,2015,-70.44776119,Low-income countries
Bahamas,BHS,1990,0.0,High-income countries
Bahamas,BHS,2015,73.91304348,High-income countries
Barbados,BRB,1990,0.0,Upper-middle-income countries
Barbados,BRB,2015,-53.44827586,High-income countries
Belarus,BLR,1990,0.0,
Belarus,BLR,2015,-87.87878788,Upper-middle-income countries
Belgium,BEL,1990,0.0,High-income countries
Belgium,BEL,2015,-22.22222222,High-income countries
Canada,CAN,1990,0.0,High-income countries
Canada,CAN,2015,0.0,High-income countries
Caribbean small states,,1990,0.0,
Caribbean small states,,2015,5.319148936,
France,FRA,1990,0.0,High-income countries
France,FRA,2015,-46.66666667,High-income countries
Guyana,GUY,1990,0.0,Low-income countries
Guyana,GUY,2015,33.91812865,Upper-middle-income countries
Ireland,IRL,1990,0.0,High-income countries
Ireland,IRL,2015,-27.27272727,High-income countries
Japan,JPN,1990,0.0,High-income countries
Japan,JPN,2015,-64.28571429,High-income countries
Kyrgyzstan,KGZ,1990,0.0,
Kyrgyzstan,KGZ,2015,-5.0,Lower-middle-income countries
Netherlands,NLD,1990,0.0,High-income countries
Netherlands,NLD,2015,-41.66666667,High-income countries
North Korea,PRK,1990,0.0,Lower-middle-income countries
North Korea,PRK,2015,9.333333333,Low-income countries
Poland,POL,1990,0.0,Lower-middle-income countries
Poland,POL,2015,-82.35294118,High-income countries
Russia,RUS,1990,0.0,
Russia,RUS,2015,-60.31746032,Upper-middle-income countries
Rwanda,RWA,1990,0.0,Low-income countries
Rwanda,RWA,2015,-77.69230769,Low-income countries
Serbia,SRB,1990,0.0,
Serbia,SRB,2015,21.42857143,Upper-middle-income countries
South Africa,ZAF,1990,0.0,Upper-middle-income countries
South Africa,ZAF,2015,27.77777778,Upper-middle-income countries
Spain,ESP,1990,0.0,High-income countries
Spain,ESP,2015,-16.66666667,High-income countries
Switzerland,CHE,1990,0.0,High-income countries
Switzerland,CHE,2015,-37.5,High-income countries
Tonga,TON,1990,0.0,Lower-middle-income countries
Tonga,TON,2015,65.33333333,Lower-middle-income countries
United Kingdom,GBR,1990,0.0,High-income countries
United Kingdom,GBR,2015,-10.0,High-income countries
United States,USA,1990,0.0,High-income countries
United States,USA,2015,16.66666667,High-income countries
Uzbekistan,UZB,1990,0.0,
Uzbekistan,UZB,2015,-33.33333333,Lower-middle-income countries
