Entity,Code,Year,Human Development Index,Mean male height (cm),Population (historical estimates),Continent
Afghanistan,AFG,1996,0.319,165.2558607,17106600.0,
Africa,,1996,,,742765067.0,
Argentina,ARG,1996,0.751,174.6157252,35389360.0,
Armenia,ARM,1996,0.632,171.9966462,3298903.0,
Asia,,1996,,,3534544077.0,
Bahrain,BHR,1996,0.778,167.7434113,632763.0,
Bangladesh,BGD,1996,0.441,163.8082283,119876872.0,
Brazil,BRA,1996,0.653,173.5512114,166037120.0,
Brunei,BRN,1996,0.798,165.0090651,306210.0,
Bulgaria,BGR,1996,0.711,178.2402511,8401382.0,
Burundi,BDI,1996,0.283,166.6352493,5930512.0,
Chile,CHL,1996,0.735,171.8112817,14615489.0,
China,CHN,1996,0.545,171.8276872,1228298880.0,
Congo,COG,1996,0.496,167.4476256,2816600.0,
Croatia,HRV,1996,0.724,180.7818566,4758624.0,
Czechia,CZE,1996,0.782,180.1037446,10295653.0,
Democratic Republic of Congo,COD,1996,0.372,166.7952777,44118716.0,
Djibouti,DJI,1996,0.35,166.5732512,644659.0,
Egypt,EGY,1996,0.613,166.6840579,65565196.0,
Europe,,1996,,,728333999.0,
Gabon,GAB,1996,0.63,167.9359895,1150602.0,
Germany,DEU,1996,0.868,179.8811774,81300864.0,
Greece,GRC,1996,0.782,177.3160349,10803809.0,
Guatemala,GTM,1996,0.516,163.4083889,10632295.0,
Guinea,GIN,1996,0.31,167.5446232,7683120.0,
Haiti,HTI,1996,0.45,172.6377544,7770602.0,
Honduras,HND,1996,0.539,166.3933792,5976553.0,
Hong Kong,HKG,1996,0.831,173.6138509,6333446.0,
Iceland,ISL,1996,0.838,180.49156,269140.0,
India,IND,1996,0.466,164.9458981,983281216.0,
Indonesia,IDN,1996,0.578,163.5516538,201373792.0,
Iraq,IRQ,1996,0.551,170.4300961,21639336.0,
Ireland,IRL,1996,0.785,178.9251638,3606725.0,
Jamaica,JAM,1996,0.669,174.5282957,2532895.0,
Japan,JPN,1996,0.868,170.8176462,125726224.0,
Jordan,JOR,1996,0.655,171.0322072,4608685.0,
Kenya,KEN,1996,0.477,169.6400915,27615736.0,
Laos,LAO,1996,0.447,160.5189936,5043920.0,
Libya,LBY,1996,0.699,173.5284006,4820077.0,
Malawi,MWI,1996,0.368,162.2277323,10310525.0,
Mali,MLI,1996,0.277,171.1194632,10131913.0,
Mexico,MEX,1996,0.681,169.0114702,91586560.0,
Moldova,MDA,1996,0.617,175.489202,4430199.0,
Mongolia,MNG,1996,0.564,169.0656778,2357038.0,
Mozambique,MOZ,1996,0.259,164.7975642,16079560.0,
Myanmar,MMR,1996,0.381,164.6726735,43423376.0,
Namibia,NAM,1996,0.571,166.9643668,1650077.0,
Nepal,NPL,1996,0.442,162.3183332,22783972.0,
Niger,NER,1996,0.243,167.6760035,10149939.0,
North America,,1996,,175.9695,460925637.0,
North Macedonia,MKD,1996,0.65,178.330803,1994230.0,
Oceania,,1996,,,29379071.0,
Pakistan,PAK,1996,0.423,166.9481799,137234816.0,
Peru,PER,1996,0.651,165.2324719,24907304.0,
Philippines,PHL,1996,0.62,163.2291559,70944968.0,
Poland,POL,1996,0.755,177.3269817,38401408.0,
Portugal,PRT,1996,0.769,172.9328818,10087653.0,
Qatar,QAT,1996,0.782,170.476481,529277.0,
Romania,ROU,1996,0.693,174.740883,22417872.0,
Russia,RUS,1996,0.708,176.4605305,148233408.0,
Rwanda,RWA,1996,0.296,162.6789315,6715510.0,
Saudi Arabia,SAU,1996,0.715,167.6703062,19410278.0,
Senegal,SEN,1996,0.376,173.1387425,8843426.0,
Serbia,SRB,1996,0.679,180.5674062,7993447.0,
Slovakia,SVK,1996,0.73,179.5012393,5358288.0,
South Africa,ZAF,1996,0.656,166.6780993,44661608.0,
South America,,1996,,,329199341.0,
South Korea,KOR,1996,0.793,174.9196246,45660164.0,
Syria,SYR,1996,0.582,170.4283087,14708883.0,
Tajikistan,TJK,1996,0.531,171.2644735,6035605.0,
Thailand,THA,1996,0.628,169.1624398,60211100.0,
Togo,TGO,1996,0.429,168.3303395,4445892.0,
Tonga,TON,1996,0.678,176.757346,100209.0,
Tunisia,TUN,1996,0.62,173.9514542,9430552.0,
Ukraine,UKR,1996,0.685,178.457049,50616104.0,
United Kingdom,GBR,1996,0.834,177.4901885,58078584.0,
United States,USA,1996,0.887,177.1303957,268984352.0,
Uruguay,URY,1996,0.723,173.432458,3226635.0,
Venezuela,VEN,1996,0.679,171.5942721,22572114.0,
Vietnam,VNM,1996,0.55,164.4455519,74946456.0,
Yemen,YEM,1996,0.419,159.8869411,16614329.0,
