Entity,Code,Year,"Deaths that are from all causes attributed to unsafe water source per 100,000 people, in both sexes aged age-standardized",$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,61.40908,,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,26.642683,,165516224.0,
Benin,BEN,2019,49.96617,,12290443.0,
Brazil,BRA,2019,2.1781595,5.388581,211782880.0,
Burkina Faso,BFA,2019,75.11252,,20951638.0,
Central African Republic,CAF,2019,197.63641,,5209329.0,
Chad,TCD,2019,141.04626,,16126868.0,
China,CHN,2019,0.2655811,0.14242858,1421864064.0,
Cote d'Ivoire,CIV,2019,36.15572,,26147544.0,
Djibouti,DJI,2019,36.646053,,1073999.0,
Ethiopia,ETH,2019,64.84797,,114120592.0,
Europe,,2019,,,747418251.0,
Guatemala,GTM,2019,15.572221,,17106338.0,
Guinea-Bissau,GNB,2019,87.83956,,1970460.0,
Honduras,HND,2019,11.364979,12.742991,9958832.0,
India,IND,2019,57.195183,12.731296,1383112064.0,
Indonesia,IDN,2019,30.499979,4.380574,269582880.0,
Kenya,KEN,2019,52.805218,,50951452.0,
Kiribati,KIR,2019,72.56779,1.6780767,124252.0,
Lesotho,LSO,2019,92.80885,,2225710.0,
Liberia,LBR,2019,60.495705,,4985290.0,
Malawi,MWI,2019,62.979973,70.0606,18867340.0,
Mali,MLI,2019,86.48148,,20567430.0,
Mozambique,MOZ,2019,40.839,74.38077,30285602.0,
Myanmar,MMR,2019,13.800092,,53040212.0,
Niger,NER,2019,103.69789,,23443400.0,
Nigeria,NGA,2019,80.09448,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,54.735516,,223293280.0,
Rwanda,RWA,2019,38.88337,,12835029.0,
South Africa,ZAF,2019,22.69743,,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,98.55245,,10447677.0,
Sudan,SDN,2019,14.272881,,43232092.0,
Tanzania,TZA,2019,44.082787,,59872584.0,
Yemen,YEM,2019,15.352179,,31546694.0,
Zambia,ZMB,2019,50.316845,,18380478.0,
Zimbabwe,ZWE,2019,45.90875,39.75453,15354606.0,
