Entity,Code,Year,"Death rate per 100,000 people - Cause: Tuberculosis - Sex: Both sexes - Age group: ALLAges"
Brazil,BRA,2000,4.53
Brazil,BRA,2005,3.41
Brazil,BRA,2010,2.93
Brazil,BRA,2015,2.63
Brazil,BRA,2019,2.32
China,CHN,2000,8.39
China,CHN,2005,6.13
China,CHN,2010,3.71
China,CHN,2015,2.83
China,CHN,2019,2.42
India,IND,2000,58.0
India,IND,2005,48.89
India,IND,2010,40.16
India,IND,2015,34.28
India,IND,2019,31.82
Nigeria,NGA,2000,65.6
Nigeria,NGA,2005,60.63
Nigeria,NGA,2010,54.78
Nigeria,NGA,2015,62.19
Nigeria,NGA,2019,63.35
Philippines,PHL,2000,48.12
Philippines,PHL,2005,40.29
Philippines,PHL,2010,32.73
Philippines,PHL,2015,28.36
Philippines,PHL,2019,25.06
South Africa,ZAF,2000,57.01
South Africa,ZAF,2005,70.45
South Africa,ZAF,2010,49.77
South Africa,ZAF,2015,35.94
South Africa,ZAF,2019,37.48
