Entity,Code,Year,fishing_pressure_mean_region
Europe-Mediterranean,,1970,0.49071955250445
Europe-Mediterranean,,1980,0.420339912280702
Europe-Mediterranean,,1990,1.1182775698678402
Europe-Mediterranean,,2000,1.2
Europe-Mediterranean,,2010,2.3368421052631603
Indian Ocean tunas,,1970,0.161906876680433
Indian Ocean tunas,,1980,0.0841
Indian Ocean tunas,,1990,0.286
Indian Ocean tunas,,2000,0.835
Indian Ocean tunas,,2010,0.78
New Zealand,NZL,1970,0.0819152844671305
New Zealand,NZL,1980,0.21088296618657
New Zealand,NZL,1990,0.4195411924882479
New Zealand,NZL,2000,0.6430484436759499
New Zealand,NZL,2010,0.400244950752518
South Africa,ZAF,1970,1.1446808510638302
South Africa,ZAF,1980,1.01281983457749
South Africa,ZAF,1990,0.857832835376385
South Africa,ZAF,2000,0.8231331341505541
South Africa,ZAF,2010,0.7626205206002241
South Africa,ZAF,2018,0.397837284517745
South America,,1970,1.6414523706894402
South America,,1980,0.61
South America,,1990,1.1091335402324598
South America,,2000,1.61028673835126
South America,,2010,1.2598566308243702
South America,,2018,0.72985
West Africa,,2000,1.28334135772749
West Africa,,2010,1.75084256138661
