Entity,Code,Year,Electricity from gas - TWh
Bosnia and Herzegovina,BIH,2000,0.0
Bosnia and Herzegovina,BIH,2005,0.0
Bosnia and Herzegovina,BIH,2010,0.05
Bosnia and Herzegovina,BIH,2015,0.03
Bosnia and Herzegovina,BIH,2020,0.0
Bosnia and Herzegovina,BIH,2022,0.0
Guam,GUM,2000,0.0
Guam,GUM,2005,0.0
Guam,GUM,2010,0.0
Guam,GUM,2015,0.0
Guam,GUM,2020,0.0
Slovenia,SVN,1990,0.0
Slovenia,SVN,1995,0.01
Slovenia,SVN,2000,0.29
Slovenia,SVN,2005,0.34
Slovenia,SVN,2010,0.55
Slovenia,SVN,2015,0.4
Slovenia,SVN,2020,0.58
Slovenia,SVN,2022,0.47
South Sudan,SSD,2015,0.0
South Sudan,SSD,2020,0.0
Switzerland,CHE,2000,0.86
Switzerland,CHE,2005,0.87
Switzerland,CHE,2010,1.03
Switzerland,CHE,2015,0.63
Switzerland,CHE,2020,0.62
Switzerland,CHE,2022,0.5
Thailand,THA,1985,10.666
Thailand,THA,1990,17.76506
Thailand,THA,1995,33.863262
Thailand,THA,2000,57.01
Thailand,THA,2005,88.84
Thailand,THA,2010,112.8
Thailand,THA,2015,120.2
Thailand,THA,2020,115.78
Thailand,THA,2022,121.78
Western Sahara,ESH,2000,0.0
Western Sahara,ESH,2005,0.0
Western Sahara,ESH,2010,0.0
Western Sahara,ESH,2015,0.0
Western Sahara,ESH,2020,0.0
