Entity,Code,Year,Electricity from wind - TWh
Australia,AUS,1990,0.0
Australia,AUS,2000,0.13
Australia,AUS,2010,4.99
Australia,AUS,2022,31.65
Denmark,DNK,1978,0.003
Denmark,DNK,1990,0.61
Denmark,DNK,2000,4.24
Denmark,DNK,2010,7.81
Denmark,DNK,2022,18.93
India,IND,1978,0.0
India,IND,1990,0.03030303
India,IND,2000,1.58
India,IND,2010,19.46
India,IND,2022,70.05
New Zealand,NZL,1978,0.0
New Zealand,NZL,1990,0.0
New Zealand,NZL,2000,0.12
New Zealand,NZL,2010,1.62
New Zealand,NZL,2022,3.2
United Kingdom,GBR,1978,0.0
United Kingdom,GBR,1990,0.01
United Kingdom,GBR,2000,0.94
United Kingdom,GBR,2010,10.29
United Kingdom,GBR,2022,80.26
