Entity,Code,Year,Share of children who are stunted,Annual CO₂ emissions (per capita),Continent
Afghanistan,AFG,2021,,0.30631703,
Africa,,2021,,1.0311713,
Albania,ALB,2021,,1.7177409,
Algeria,DZA,2021,,4.079527,
Armenia,ARM,2021,,2.53107,
Asia,,2021,,4.567902,
Bangladesh,BGD,2021,,0.5831512,
Benin,BEN,2021,,0.6395752,
Bolivia,BOL,2021,,1.7985878,
Burkina Faso,BFA,2021,,0.2659974,
Burundi,BDI,2021,,0.06373885,
Cameroon,CMR,2021,,0.37861246,
Central African Republic,CAF,2021,,0.04567115,
Chad,TCD,2021,31.1,0.14357351,
China,CHN,2021,,7.9502664,
Cote d'Ivoire,CIV,2021,,0.42686108,
Cuba,CUB,2021,,1.8603169,
Dominican Republic,DOM,2021,,2.1393347,
East Timor,TLS,2021,,0.5024414,
Ecuador,ECU,2021,,2.2324002,
Ethiopia,ETH,2021,,0.15729143,
Europe,,2021,,7.1178274,
Gambia,GMB,2021,,0.2867638,
Germany,DEU,2021,,8.138241,
Ghana,GHA,2021,,0.63856685,
Guinea,GIN,2021,,0.35968435,
Guinea-Bissau,GNB,2021,,0.15579237,
Haiti,HTI,2021,,0.2118702,
Honduras,HND,2021,,1.0541441,
India,IND,2021,,1.8998938,
Indonesia,IDN,2021,,2.2499223,
Iraq,IRQ,2021,,3.8725574,
Jamaica,JAM,2021,,2.337014,
Kiribati,KIR,2021,,0.53396493,
Kuwait,KWT,2021,,24.301199,
Laos,LAO,2021,,3.1470437,
Lesotho,LSO,2021,,1.0872496,
Madagascar,MDG,2021,39.8,0.1475559,
Malawi,MWI,2021,,0.104497075,
Malaysia,MYS,2021,,8.3059,
Maldives,MDV,2021,,3.2992737,
Mongolia,MNG,2021,,11.4274645,
Nepal,NPL,2021,,0.52033556,
Niger,NER,2021,44.4,0.120342515,
North America,,2021,,10.459453,
North Korea,PRK,2021,,1.9766082,
Oceania,,2021,,9.883469,
Oman,OMN,2021,,15.677213,
Pakistan,PAK,2021,,0.96563566,
Palestine,PSE,2021,,0.66772425,
Paraguay,PRY,2021,,1.3819655,
Peru,PER,2021,,1.6749027,
Philippines,PHL,2021,,1.253542,
Portugal,PRT,2021,,3.8812351,
Rwanda,RWA,2021,,0.11539575,
Sierra Leone,SLE,2021,26.3,0.13179387,
South America,,2021,,2.50236,
Togo,TGO,2021,,0.29565188,
Tonga,TON,2021,,1.8028463,
Turkmenistan,TKM,2021,,11.033806,
Vietnam,VNM,2021,,3.6171148,
Zambia,ZMB,2021,,0.44487745,
Zimbabwe,ZWE,2021,,0.5249723,
