Entity,Code,Year,Total | 00002901 || Food available for consumption | 0684pc || grams of fat per day per capita,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,53.98781,,1360677453.0,
Algeria,DZA,2020,100.596176,10844.7705,43451668.0,
Asia,,2020,79.42609,,4663086623.0,
Bangladesh,BGD,2020,34.645367,5591.374,167420944.0,
Belarus,BLR,2020,129.37495,19225.574,9633745.0,
Brazil,BRA,2020,139.6416,14021.958,213196304.0,
Burkina Faso,BFA,2020,65.19818,2093.7336,21522632.0,
Burundi,BDI,2020,15.121053,711.3553,12220229.0,
Chad,TCD,2020,64.964455,1489.1868,16644707.0,
Chile,CHL,2020,99.50164,23017.69,19300318.0,
Democratic Republic of Congo,COD,2020,21.856672,1044.0712,92853168.0,
Ethiopia,ETH,2020,28.723507,2253.2358,117190920.0,
Europe,,2020,139.15851,,747462669.0,
Germany,DEU,2020,165.71986,51840.33,83328992.0,
Ghana,GHA,2020,42.31197,5263.5264,32180402.0,
Greece,GRC,2020,154.32951,27103.541,10512232.0,
High-income countries,,2020,149.01628,47614.09,1218093003.0,
Honduras,HND,2020,87.550514,5028.145,10121762.0,
Iran,IRN,2020,77.99809,14432.362,87290192.0,
Ireland,IRL,2020,162.31607,91099.75,4946123.0,
Italy,ITA,2020,155.70547,39065.28,59500576.0,
Japan,JPN,2020,91.60207,39935.465,125244760.0,
Kazakhstan,KAZ,2020,133.51976,25361.508,18979250.0,
Kiribati,KIR,2020,110.01191,1944.8469,126473.0,
Libya,LBY,2020,101.603806,16924.15,6653946.0,
Low-income countries,,2020,41.954403,1970.1681,680258922.0,
Lower-middle-income countries,,2020,62.291992,6930.9463,3369707355.0,
Malawi,MWI,2020,51.020943,1489.6014,19377058.0,
Micronesia (country),FSM,2020,135.40515,3455.7166,112119.0,
Morocco,MAR,2020,76.308525,7545.995,36688768.0,
Mozambique,MOZ,2020,38.835922,1232.9856,31178242.0,
Myanmar,MMR,2020,98.78117,4947.0938,53423200.0,
Namibia,NAM,2020,59.094986,9048.184,2489099.0,
Nepal,NPL,2020,61.20506,3761.8027,29348626.0,
Netherlands,NLD,2020,137.97676,54275.004,17434562.0,
New Zealand,NZL,2020,116.67,41642.027,5061130.0,
Niger,NER,2020,54.185707,1214.5465,24333644.0,
Nigeria,NGA,2020,55.896755,4865.087,208327408.0,
North America,,2020,147.93225,,594263186.0,
Oceania,,2020,122.97723,,43933757.0,
Pakistan,PAK,2020,78.256516,5004.352,227196736.0,
Philippines,PHL,2020,48.04569,7773.2603,112190984.0,
Portugal,PRT,2020,146.12578,32011.324,10298186.0,
Qatar,QAT,2020,131.06926,89019.07,2760390.0,
Russia,RUS,2020,118.43737,26583.797,145617328.0,
Samoa,WSM,2020,105.53115,6062.3667,214934.0,
Senegal,SEN,2020,77.57611,3383.8884,16436120.0,
South America,,2020,115.14734,,431530105.0,
South Korea,KOR,2020,125.046326,42396.76,51844688.0,
Sri Lanka,LKA,2020,50.67571,13095.761,21715076.0,
Sudan,SDN,2020,71.00266,3874.8003,44440484.0,
Tanzania,TZA,2020,53.921432,2551.2063,61704520.0,
Trinidad and Tobago,TTO,2020,82.551125,23391.316,1518142.0,
Turkey,TUR,2020,125.663414,28473.205,84135432.0,
United States,USA,2020,181.15671,60167.855,335942016.0,
Upper-middle-income countries,,2020,105.70128,17017.123,2541463877.0,
Uzbekistan,UZB,2020,94.36798,7344.22,33526662.0,
Vanuatu,VUT,2020,102.60861,2836.8135,311694.0,
Vietnam,VNM,2020,81.417046,10450.622,96648680.0,
World,OWID_WRL,2020,87.69309,16175.776,7840952832.0,
