Entity,Code,Year,"Current number of cases of mental disorders per 100 people, in males aged age-standardized","Current number of cases of mental disorders per 100 people, in females aged age-standardized",Population (historical estimates),Continent
Afghanistan,AFG,2019,15.840804,17.159695,37769496.0,
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,17.221563,17.839138,25357168.0,
Bangladesh,BGD,2019,10.942511,11.95527,165516224.0,
Brazil,BRA,2019,13.902332,17.816017,211782880.0,
Brunei,BRN,2019,9.870257,9.198391,438058.0,
Canada,CAN,2019,13.506513,13.5140915,37522584.0,
China,CHN,2019,10.622026,10.414743,1421864064.0,
Croatia,HRV,2019,10.087609,11.565788,4129749.0,
Cuba,CUB,2019,14.256393,14.3308325,11316699.0,
Denmark,DNK,2019,11.1819105,14.332524,5795879.0,
Egypt,EGY,2019,13.10631,14.808646,105618672.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,10.661525,11.497804,918472.0,
France,FRA,2019,13.202768,16.912817,64399760.0,
Germany,DEU,2019,11.911312,15.525686,83148144.0,
Greece,GRC,2019,14.1459,17.030962,10574026.0,
Guyana,GUY,2019,14.960105,15.519302,798761.0,
Haiti,HTI,2019,14.561699,14.937027,11160441.0,
India,IND,2019,12.95589,13.855369,1383112064.0,
Indonesia,IDN,2019,9.6068945,10.855851,269582880.0,
Iran,IRN,2019,16.864628,19.18112,86564208.0,
Iraq,IRQ,2019,12.891021,15.55839,41563524.0,
Italy,ITA,2019,12.403638,15.542162,59727936.0,
Japan,JPN,2019,10.471086,8.852948,125791680.0,
Kiribati,KIR,2019,11.567514,12.043425,124252.0,
Kuwait,KWT,2019,12.202711,14.242002,4441105.0,
Liberia,LBR,2019,11.156388,13.568172,4985290.0,
Mexico,MEX,2019,10.473144,12.443821,125085312.0,
Monaco,MCO,2019,13.154465,15.967325,37059.0,
Morocco,MAR,2019,14.005758,16.040937,36304408.0,
Nigeria,NGA,2019,10.259799,10.822248,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Peru,PER,2019,12.488201,13.726033,32824864.0,
Poland,POL,2019,9.549634,9.901823,38493600.0,
Singapore,SGP,2019,10.29742,9.486355,5866408.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,14.821804,18.328194,47131372.0,
Syria,SYR,2019,14.389436,16.332586,20098252.0,
Tanzania,TZA,2019,11.583944,12.876992,59872584.0,
Thailand,THA,2019,11.616029,11.237427,71307768.0,
Turkey,TUR,2019,12.630317,14.6871605,83481688.0,
Uganda,UGA,2019,13.769697,14.811342,42949076.0,
United States,USA,2019,14.965814,16.288965,334319680.0,
Uruguay,URY,2019,11.661035,14.3435955,3428412.0,
Vietnam,VNM,2019,8.313176,9.840334,95776712.0,
World,OWID_WRL,2019,11.727329,12.760015,7764951040.0,
