Entity,Code,Year,Tomatoes | 00000388 || Production | 005510 || tonnes
Africa (FAO),,1961,1968812.0
Africa (FAO),,1970,3221482.0
Africa (FAO),,1980,4892318.0
Africa (FAO),,1990,8317715.0
Africa (FAO),,2000,13232466.0
Africa (FAO),,2010,18450640.0
Africa (FAO),,2021,21383400.0
Brazil,BRA,1961,390992.0
Brazil,BRA,1970,764119.0
Brazil,BRA,1980,1535331.0
Brazil,BRA,1990,2260871.0
Brazil,BRA,2000,3004797.0
Brazil,BRA,2010,4106846.0
Brazil,BRA,2021,3679160.0
Burkina Faso,BFA,1961,1300.0
Burkina Faso,BFA,1970,1400.0
Burkina Faso,BFA,1980,9000.0
Burkina Faso,BFA,1990,23967.0
Burkina Faso,BFA,2000,44646.0
Burkina Faso,BFA,2010,135543.75
Burkina Faso,BFA,2021,291171.22
Luxembourg,LUX,2000,135.0
Luxembourg,LUX,2010,71.0
Luxembourg,LUX,2021,50.0
Tanzania,TZA,1961,10000.0
Tanzania,TZA,1970,28000.0
Tanzania,TZA,1980,55000.0
Tanzania,TZA,1990,105000.0
Tanzania,TZA,2000,136914.0
Tanzania,TZA,2010,300000.0
Tanzania,TZA,2021,463964.75
Yemen,YEM,1980,122070.0
Yemen,YEM,1990,167732.0
Yemen,YEM,2000,251138.0
Yemen,YEM,2010,261930.0
Yemen,YEM,2021,89541.24
