Entity,Code,Year,Hydro electricity per capita - kWh
Bermuda,BMU,2000,0.0
Bermuda,BMU,2010,0.0
Hungary,HUN,1965,7.395824
Hungary,HUN,1970,8.530962
Hungary,HUN,1980,10.468579
Hungary,HUN,1990,17.347744
Hungary,HUN,2000,17.643505
Hungary,HUN,2010,19.025053
Hungary,HUN,2022,19.062326
Iraq,IRQ,1965,8.549664
Iraq,IRQ,1970,17.567053
Iraq,IRQ,1980,50.53698
Iraq,IRQ,1990,263.34592
Iraq,IRQ,2000,24.76769
Iraq,IRQ,2010,150.96811
Iraq,IRQ,2022,74.00666
Kyrgyzstan,KGZ,2000,2745.591
Kyrgyzstan,KGZ,2010,2005.9154
North Macedonia,MKD,1990,239.7048
North Macedonia,MKD,2000,574.10913
North Macedonia,MKD,2010,1160.5538
North Macedonia,MKD,2022,640.044
Western Sahara,ESH,2000,0.0
Western Sahara,ESH,2010,0.0
