Entity,Code,Year,Number of ongoing conflicts - Hostility level: Threat to use force,Number of ongoing conflicts - Hostility level: Display of force,Number of ongoing conflicts - Hostility level: Use of force,Number of ongoing conflicts - Hostility level: War
World,OWID_WRL,1816,0,0,1,0
World,OWID_WRL,1823,0,0,0,1
World,OWID_WRL,1830,0,1,0,0
World,OWID_WRL,1837,0,0,3,0
World,OWID_WRL,1844,1,0,0,0
World,OWID_WRL,1851,0,0,0,1
World,OWID_WRL,1858,1,1,3,0
World,OWID_WRL,1865,0,2,1,2
World,OWID_WRL,1872,0,2,3,0
World,OWID_WRL,1879,0,0,2,1
World,OWID_WRL,1886,0,1,2,0
World,OWID_WRL,1893,0,0,4,1
World,OWID_WRL,1900,0,2,3,1
World,OWID_WRL,1907,1,0,3,1
World,OWID_WRL,1914,1,5,8,1
World,OWID_WRL,1921,1,4,7,3
World,OWID_WRL,1928,0,0,4,0
World,OWID_WRL,1935,0,2,6,2
World,OWID_WRL,1942,0,1,9,1
World,OWID_WRL,1949,0,3,10,1
World,OWID_WRL,1956,0,4,16,2
World,OWID_WRL,1963,0,10,19,1
World,OWID_WRL,1970,0,2,12,3
World,OWID_WRL,1977,0,7,19,3
World,OWID_WRL,1984,0,3,30,3
World,OWID_WRL,1991,1,8,8,1
World,OWID_WRL,1998,0,10,22,1
World,OWID_WRL,2005,2,20,20,0
World,OWID_WRL,2014,1,14,24,0
